"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"feesforsrvclobby","","","","","","","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby","feesforsrvclobby"
"feesforsrvcmgmt","","","","","","","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt","feesforsrvcmgmt"
"feesforsrvcothr","","","","","","","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr","feesforsrvcothr"
"filedf1098ccd","","","","","","","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd","filedf1098ccd"
"filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","filedf1120polcd","","","","","",""
"filedf720cd","","","","","","","filedf720cd","filedf720cd","filedf720cd","filedf720cd","filedf720cd","filedf720cd"
"filedf8282cd","","","","","","","filedf8282cd","filedf8282cd","filedf8282cd","filedf8282cd","filedf8282cd","filedf8282cd"
"filedf8886tcd","","","","","","","filedf8886tcd","filedf8886tcd","filedf8886tcd","filedf8886tcd","filedf8886tcd","filedf8886tcd"
"filedf8899cd","","","","","","","filedf8899cd","filedf8899cd","filedf8899cd","filedf8899cd","filedf8899cd","filedf8899cd"
"filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd","filedf990tcd"
"filedlieuf1041cd","","","","","","","filedlieuf1041cd","filedlieuf1041cd","filedlieuf1041cd","filedlieuf1041cd","filedlieuf1041cd","filedlieuf1041cd"
"filerqrdrtnscd","","","","","","","filerqrdrtnscd","filerqrdrtnscd","filerqrdrtnscd","filerqrdrtnscd","filerqrdrtnscd","filerqrdrtnscd"
"fmlybusnreltdcd","","","","","","","fmlybusnreltdcd","fmlybusnreltdcd","fmlybusnreltdcd","fmlybusnreltdcd","fmlybusnreltdcd","fmlybusnreltdcd"
"fndsrcvdcd","","","","","","","fndsrcvdcd","fndsrcvdcd","fndsrcvdcd","fndsrcvdcd","fndsrcvdcd","fndsrcvdcd"
"frgnacctcd","","","","","","","frgnacctcd","frgnacctcd","frgnacctcd","frgnacctcd","frgnacctcd","frgnacctcd"
"frgnaggragrntscd","","","","","","","frgnaggragrntscd","frgnaggragrntscd","frgnaggragrntscd","frgnaggragrntscd","frgnaggragrntscd","frgnaggragrntscd"
"frgngrntscd","","","","","","","frgngrntscd","frgngrntscd","frgngrntscd","frgngrntscd","frgngrntscd","frgngrntscd"
"frgnofficecd","","","","","","","frgnofficecd","frgnofficecd","frgnofficecd","frgnofficecd","frgnofficecd","frgnofficecd"
"frgnrevexpnscd","","","","","","","frgnrevexpnscd","frgnrevexpnscd","frgnrevexpnscd","frgnrevexpnscd","frgnrevexpnscd","frgnrevexpnscd"
"fw2gcnt","","","","","","","fw2gcnt","fw2gcnt","fw2gcnt","fw2gcnt","fw2gcnt","fw2gcnt"
"gftgrntrcvd170","","gftgrntrcvd170","gftgrntrcvd170","","","gftgrntrcvd170","","","","","",""
"gftgrntsrcvd170","gftgrntsrcvd170","","","gftgrntsrcvd170","gftgrntsrcvd170","","gftgrntsrcvd170","gftgrntsrcvd170","gftgrntsrcvd170","gftgrntsrcvd170","gftgrntsrcvd170","gftgrntsrcvd170"
"gnlsecur","","","","","","","gnlsecur","gnlsecur","gnlsecur","gnlsecur","gnlsecur","gnlsecur"
"gnlsothr","","","","","","","gnlsothr","gnlsothr","gnlsothr","gnlsothr","gnlsothr","gnlsothr"
"gnsaleofastothr","gnsaleofastothr","gnsaleofastothr","gnsaleofastothr","gnsaleofastothr","gnsaleofastothr","gnsaleofastothr","","","","","",""
"grantoofficercd","","","","","","","grantoofficercd","grantoofficercd","grantoofficercd","grantoofficercd","grantoofficercd","grantoofficercd"
"grnsttoindiv","","","","","","","grnsttoindiv","grnsttoindiv","grnsttoindiv","grnsttoindiv","grnsttoindiv","grnsttoindiv"
"grntspayableend","","","","","","","grntspayableend","grntspayableend","grntspayableend","grntspayableend","grntspayableend","grntspayableend"
"grntstofrgngovt","","","","","","","grntstofrgngovt","grntstofrgngovt","grntstofrgngovt","grntstofrgngovt","grntstofrgngovt","grntstofrgngovt"
"grntstogovt","","","","","","","grntstogovt","grntstogovt","grntstogovt","grntstogovt","grntstogovt","grntstogovt"
"grsalesecur","","","","","","","grsalesecur","grsalesecur","grsalesecur","grsalesecur","grsalesecur","grsalesecur"
"grsalesinvent","","","","","","","grsalesinvent","grsalesinvent","grsalesinvent","grsalesinvent","grsalesinvent","grsalesinvent"
"grsalesminusret","grsalesminusret","grsalesminusret","grsalesminusret","grsalesminusret","grsalesminusret","grsalesminusret","","","","","",""
"grsalesothr","","","","","","","grsalesothr","grsalesothr","grsalesothr","grsalesothr","grsalesothr","grsalesothr"
"grsamtsalesastothr","grsamtsalesastothr","grsamtsalesastothr","grsamtsalesastothr","grsamtsalesastothr","grsamtsalesastothr","grsamtsalesastothr","","","","","",""
"grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170","grsinc170"
"grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509","grsinc509"
"grsincfndrsng","","","","","","","grsincfndrsng","grsincfndrsng","grsincfndrsng","grsincfndrsng","grsincfndrsng","grsincfndrsng"
"grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming","grsincgaming"
"grsincmembers","","","","","","","grsincmembers","grsincmembers","grsincmembers","grsincmembers","grsincmembers","grsincmembers"
"grsincother","","","","","","","grsincother","grsincother","grsincother","grsincother","grsincother","grsincother"
"grsprft","grsprft","grsprft","grsprft","grsprft","grsprft","grsprft","","","","","",""
"grspublicrcpts","grspublicrcpts","grspublicrcpts","grspublicrcpts","grspublicrcpts","grspublicrcpts","grspublicrcpts","","","","","",""
"grsrcptsactivities509","grsrcptsactivities509","","","grsrcptsactivities509","grsrcptsactivities509","","grsrcptsactivities509","grsrcptsactivities509","grsrcptsactivities509","grsrcptsactivities509","grsrcptsactivities509","grsrcptsactivities509"
"grsrcptsactvts509","","grsrcptsactvts509","grsrcptsactvts509","","","grsrcptsactvts509","","","","","",""
"grsrcptsadmiss509","","grsrcptsadmiss509","grsrcptsadmiss509","","","grsrcptsadmiss509","","","","","",""
"grsrcptsadmissn509","grsrcptsadmissn509","","","grsrcptsadmissn509","grsrcptsadmissn509","","grsrcptsadmissn509","grsrcptsadmissn509","grsrcptsadmissn509","grsrcptsadmissn509","grsrcptsadmissn509","grsrcptsadmissn509"
"grsrcptspublicuse","","","","","","","grsrcptspublicuse","grsrcptspublicuse","grsrcptspublicuse","grsrcptspublicuse","grsrcptspublicuse","grsrcptspublicuse"
"grsrcptsrelatd170","","grsrcptsrelatd170","grsrcptsrelatd170","","","grsrcptsrelatd170","","","","","",""
"grsrcptsrelated170","grsrcptsrelated170","","","grsrcptsrelated170","grsrcptsrelated170","","grsrcptsrelated170","grsrcptsrelated170","grsrcptsrelated170","grsrcptsrelated170","grsrcptsrelated170","grsrcptsrelated170"
"grsrevnuefndrsng","grsrevnuefndrsng","grsrevnuefndrsng","grsrevnuefndrsng","grsrevnuefndrsng","grsrevnuefndrsng","grsrevnuefndrsng","","","","","",""
"grsrntsprsnl","","","","","","","grsrntsprsnl","grsrntsprsnl","grsrntsprsnl","grsrntsprsnl","grsrntsprsnl","grsrntsprsnl"
"grsrntsreal","","","","","","","grsrntsreal","grsrntsreal","grsrntsreal","grsrntsreal","grsrntsreal","grsrntsreal"
"hldassetsintermpermcd","","","","","","","hldassetsintermpermcd","hldassetsintermpermcd","hldassetsintermpermcd","hldassetsintermpermcd","hldassetsintermpermcd","hldassetsintermpermcd"
"hospaudfinstmtcd","","","","","","","hospaudfinstmtcd","hospaudfinstmtcd","hospaudfinstmtcd","hospaudfinstmtcd","hospaudfinstmtcd","hospaudfinstmtcd"
"inclinfinstmtcd","","","","","","","inclinfinstmtcd","inclinfinstmtcd","inclinfinstmtcd","inclinfinstmtcd","inclinfinstmtcd","inclinfinstmtcd"
"infotech","","","","","","","infotech","infotech","infotech","infotech","infotech","infotech"
"initiationfee","initiationfee","initiationfee","initiationfee","initiationfee","initiationfee","initiationfee","","","","","",""
"initiationfees","","","","","","","initiationfees","initiationfees","initiationfees","initiationfees","initiationfees","initiationfees"
"insurance","","","","","","","insurance","insurance","insurance","insurance","insurance","insurance"
"intangibleassetsend","","","","","","","intangibleassetsend","intangibleassetsend","intangibleassetsend","intangibleassetsend","intangibleassetsend","intangibleassetsend"
"interestamt","","","","","","","interestamt","interestamt","interestamt","interestamt","interestamt","interestamt"
