"","ein","tax_pd","daysoperating_coh"
"1",10274725,201906,41.9325553237633
"2",10275156,201808,41.6111304550176
"3",10277678,201809,50.1313599651677
"4",10281875,201809,224.260792603445
"5",10287624,201812,175.301710100238
"6",10315296,201812,285.962997839319
"7",10315732,201809,34.4134231466524
"8",10347504,201809,1202.03408916878
"9",10353284,201812,327.112678490313
"10",10355563,201812,142.768564624029
"11",10367546,201906,1329.45869071414
"12",10376239,201809,121.755733417926
"13",10403876,201806,1158.81327732926
"14",10403876,201906,1109.84712634603
"15",10409428,201906,81.4340503222696
"16",10418917,201806,87.1465027286076
"17",10421229,201906,797.879336789017
"18",10424969,201809,79.1724962114997
"19",10449761,201909,1137.34897525609
"20",10449761,201809,946.244643948712
"21",10462712,201806,130.046220621827
"22",10472964,201806,663.08415622088
"23",10482400,201809,514.326193469741
"24",10485474,201812,656.151656013945
"25",10490195,201806,151.865353006274
"26",10493897,201809,184.679902287043
"27",10495250,201906,637.96126207905
"28",10495262,201806,97.8749171945071
"29",10525140,201806,284.442347618605
"30",10533179,201812,21.1439902270849
"31",10538683,201906,301.368131961884
"32",10539222,201809,539.393743055075
"33",10544468,201809,2186.5617434744
"34",10563728,201812,94.2060829898716
"35",10581489,201903,3776.6696
"36",10594671,201812,26.9103295004348
"37",10638984,201812,263.316777003502
"38",10687154,201812,50.7724498210475
"39",10701611,201812,286.929339851251
"40",10714863,201812,123.359044277974
"41",10721933,201812,3.31289282045084
"42",10732253,201812,757.939892703728
"43",10740130,201806,341.17582011697
"44",10793507,201812,1211.53232022061
"45",10806304,201809,113.526487925073
"46",10815503,201812,1104.81003797119
"47",10851864,201812,54.7586542541243
"48",10852709,201812,1.80254484685014
"49",10863576,201812,422.615836101883
"50",10951147,201812,66.0827871320526
"51",16020406,201810,54.0517440834826
"52",16020566,201812,49.5980468760208
"53",16023748,201809,53.7347536138023
"54",20271288,201906,334.858630926766
"55",20318035,201803,723.268756063537
"56",20350170,201809,91.0213982938695
"57",20351932,201806,29.3476469121705
"58",20364019,201812,13359.3094440063
"59",20370974,201812,838.618838155422
"60",20373020,201806,4.25098755728853
"61",20418158,201812,13.9813695597316
"62",20426348,201812,453.124865008288
"63",20427331,201812,596.562698734414
"64",20433505,201903,111.385548398493
"65",20444364,201812,401.359424261966
"66",20452666,201906,9.39324499120611
"67",20455301,201803,1021.36199637261
"68",20455301,201903,874.754712367251
"69",20483387,201812,7225.29494839761
"70",20502885,201809,43.2755492844185
"71",20531034,201812,418.866470620269
"72",20549245,201812,1552.98940409101
"73",20591170,201803,49.0919431798539
"74",20620273,201812,9.97658027659883
"75",20622034,201812,396.946433943642
"76",20650286,201806,299.640160511015
"77",20698186,201812,0
"78",20749992,201806,107.820621242943
"79",20812143,201812,356.374783576244
"80",30216254,201809,74.1652687125933
"81",30216505,201809,50.83240479665
"82",30216740,201809,116.360591630097
"83",30216837,201809,63.8437152664298
"84",30264362,201809,119.365088746492
"85",30276709,201809,56.4786863430253
"86",30280726,201812,65.3786337380412
"87",30285606,201809,65.0120522650615
"88",30301520,201812,158.765958693178
"89",30301526,201812,218.299892638414
"90",30305214,201809,395.181183106429
"91",30315075,201812,474.41332889109
"92",30318824,201809,304.169904307748
"93",30337709,201806,311.857719668146
"94",30340615,201812,141.768396391206
"95",30347212,201812,733.891298834189
"96",30374933,201809,65.5764002905835
"97",30403629,201806,545.634457911046
"98",30406267,201806,60.9333952721119
"99",30418327,201806,66.1148374842755
"100",30433655,201812,134.405063228987
"101",30433895,201809,206.202108845559
"102",30433925,201806,97.5060517786075
"103",30460207,201812,255.232001123252
"104",30461881,201812,69.8608123187226
"105",30463073,201806,132.924732361795
"106",30494844,201906,314.744878263325
"107",30494844,201806,343.259995304451
"108",30496558,201812,34.0760253307251
"109",30512382,201906,55.7143464806406
"110",30517961,201812,247.102247918073
"111",30522656,201906,88.9628670400998
"112",30551530,201812,188.98297016246
"113",30589352,201806,3.34364534682906
"114",30589352,201906,3.72962508263292
"115",30594239,201906,226.649399251526
"116",30596955,201806,122.034371130483
"117",42104319,201812,355.214382738158
"118",42304133,201808,58.3943166381558
"119",42313571,201812,145.670067401107
"120",42324773,201809,196.874194459254
"121",42376180,201809,31.944133496775
"122",42378175,201809,473.300449415175
"123",42378885,201809,136.579975517526
"124",42382027,201806,44.9249293754658
"125",42382027,201906,46.3150189912096
"126",42383153,201812,66.7677966303548
"127",42384972,201809,39.0092773101589
"128",42385280,201809,52.2860703859583
"129",42389659,201806,42.6703672289125
"130",42391348,201809,69.6545454616165
"131",42428915,201906,68.9115330245076
"132",42437845,201806,116.732713306678
"133",42454675,201806,50.4370190907797
"134",42455301,201806,80.9570744598402
"135",42457732,201806,200.776003141209
"136",42457732,201906,156.062883722051
"137",42476258,201806,222.776305604829
"138",42478888,201812,228.142397250417
"139",42483221,201812,107.032334409273
"140",42483322,201906,561.663908602392
"141",42516093,201906,178.114320720076
"142",42518368,201806,87.2693145013221
"143",42529221,201806,NA
"144",42529221,201906,NA
"145",42531287,201812,427.154426406347
"146",42546441,201806,106.887453809788
"147",42614551,201812,1195.31505512682
"148",42622178,201712,56.547786240623
"149",42622178,201812,117.156658179791
"150",42622751,201812,316.20498781115
"151",42652919,201812,203.395906326686
"152",42660283,201812,265.197819928417
"153",42666507,201812,480.038690795663
"154",42678309,201906,112.833336035258
"155",42681632,201812,117.870733096912
"156",42684781,201812,81.5749098257644
"157",42685432,201809,382.132129191777
"158",42686893,201812,106.85553930565
"159",42690210,201812,232.992746217133
"160",42692763,201806,42.7176001079119
"161",42716278,201812,765.841338764114
"162",42716728,201706,499.69535095007
"163",42716728,201806,542.42377038529
"164",42732718,201812,3082.52539773816
"165",42733078,201812,575.15629236855
"166",42736725,201812,147.202871890069
"167",42737054,201806,422.866135031971
"168",42741009,201806,95.9294435520891
"169",42741543,201812,284.851230416181
"170",42743779,201812,15508.1833261658
"171",42748880,201806,68.517350726653
"172",42752507,201812,393.13114979441
"173",42755270,201808,226.666139390271
"174",42755382,201903,80.9816743627978
"175",42760272,201812,140.078325053732
"176",42761591,201812,63.802500195699
"177",42762580,201812,207.436904555295
"178",42774010,201806,93.3398318858663
"179",42777769,201812,26.3940422252469
"180",42859066,201806,115.108737155705
"181",42898893,201806,68.3324208513092
"182",42921318,201806,97.2688397010169
"183",42921465,201806,141.873147361626
"184",42925846,201806,57.7650626276171
"185",42933012,201806,279.184603877226
"186",42944144,201812,129.324356411616
"187",42961787,201806,1473.33551851419
"188",42964630,201812,255.860127279374
"189",42970982,201806,107.43771940387
"190",42982308,201812,202.929908316459
"191",42983365,201906,191.253549087792
"192",42983365,201806,162.034599304417
"193",42988263,201812,948.815986118929
"194",43010725,201806,91.5961714179101
"195",43023407,201806,120.938948472654
"196",43029411,201806,99.6075305649241
"197",43036200,201812,98.3357907834759
"198",43074487,201812,5.84162673547119
"199",43085298,201906,NA
"200",43100105,201812,173.144077623634
"201",43118543,201906,492.956729046661
"202",43124357,201812,21.8987985478392
"203",43141970,201812,NA
"204",43159643,201809,8.62413102479781
"205",43172737,201806,240.51421070654
"206",43176887,201812,30.7574834288841
"207",43206608,201812,79756.88
"208",43216873,201906,3938.77441860465
"209",43230028,201812,745.377276815831
"210",43239046,201812,129.312258414521
"211",43244024,201906,452.772925078807
"212",43246555,201812,1556.26525725616
"213",43247717,201906,99.8127586081977
"214",43247717,201806,53.6940022843811
"215",43280116,201806,379.808937700207
"216",43282997,201805,136.148980106708
"217",43282997,201905,816.618925658826
"218",43286347,201906,1798.74325083419
"219",43289039,201812,75.1543524811708
"220",43290004,201906,NA
"221",43299189,201812,802.992491166078
"222",43320522,201806,2565.50786151916
"223",43322638,201812,315.071786514042
"224",43330633,201906,14.9823971441591
"225",43330633,201806,4.170872496843
"226",43331491,201806,9358.90514469453
"227",43333866,201812,1266.79196765577
"228",43337726,201812,47.9576242759775
"229",43362851,201809,111.3591404541
"230",43364974,201806,16033.864546982
"231",43370097,201806,327.251641199376
"232",43371170,201809,175.391471650699
"233",43408855,201812,66.6202828939236
"234",43458096,201906,153.692865662755
"235",43460139,201812,131.832563089803
"236",43469536,201812,119.979167249238
"237",43490920,201812,98.5571653279993
"238",43500087,201906,1.16891647800466
"239",43502138,201906,10.9837866831373
"240",43534715,201812,2151.02271856457
"241",43534734,201812,230.203131991051
"242",43535025,201812,37.9560041788673
"243",43538884,201812,127.781736344333
"244",43555681,201812,164.188254541578
"245",43562853,201806,138.545869220719
"246",43571892,201812,1124.31686705828
"247",43586322,201812,NA
"248",43611860,201812,151.176992505585
"249",43613194,201812,116.171889977417
"250",43617019,201806,1008.00088804948
"251",43617951,201806,63.9965611701236
"252",43627371,201812,755.775997647652
"253",43627393,201806,222.344136292262
"254",43635313,201812,376.714932560966
"255",43669252,201806,10.3962508648361
"256",43728351,201812,NA
"257",43754904,201812,148.81779755594
"258",46125732,201809,26.6143383830742
"259",46132439,201812,354.140530868608
"260",46138418,201812,169.583336395453
"261",50258819,201812,43.2557112332125
"262",50258871,201812,33.6610046114396
"263",50258939,201806,2.08958232543138
"264",50259094,201812,93.3737890320512
"265",50300152,201812,47.0929071693277
"266",50309695,201809,164.908698623287
"267",50311985,201806,65.4925584961968
"268",50312991,201809,67.4643917335833
"269",50340202,201812,675.605932991326
"270",50340915,201812,89.0468270676692
"271",50343709,201909,115.33942367975
"272",50370157,201812,71.2820866864838
"273",50370946,201808,824.42275282752
"274",50376075,201806,61.6446291404214
"275",50380608,201812,185.745031836805
"276",50381201,201812,498.777142857143
"277",50383354,201812,1118.7153045539
"278",50384495,201812,1837.1248726854
"279",50396559,201812,37293.7533333333
"280",50432730,201806,73.2610945988716
"281",50445955,201906,217.395179721899
"282",50448151,201806,77.1076732687074
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,230.906330500754
"286",50450845,201806,163.291597714808
"287",50463993,201806,14.0820823355124
"288",50475365,201812,50.7786961023078
"289",50486136,201809,136.272266353271
"290",50489479,201903,175.075080682983
"291",50489479,201803,184.969663320641
"292",50495681,201812,470.278888209566
"293",50497260,201812,NA
"294",50513907,201812,7027.40598503741
"295",50520256,201812,482.744532995064
"296",56015153,201806,51.2851677073416
"297",56018801,201806,95.3295443092371
"298",60646969,201806,143.53845139971
"299",60646974,201906,60.2299492418945
"300",60646994,201806,62.0323309688983
"301",60653158,201806,141.108505054934
"302",60676851,201809,119.426017159284
"303",60795640,201812,94.6566878587501
"304",60801861,201806,69.5793641242478
"305",60806128,201903,82.1619072368179
"306",60813725,201812,51.9418572656304
"307",60864050,201812,231.924272331955
"308",60876558,201806,63.0370272708348
"309",60876677,201808,58.4301292719686
"310",60890788,201812,22.6224433408069
"311",60903918,201812,297.337201581099
"312",60906671,201812,20.2229488865216
"313",60939659,201806,70.5440606033821
"314",60954802,201806,43.1764164587807
"315",60979507,201809,21.5580699243121
"316",60993174,201812,447.377138703118
"317",61006312,201806,112.513876669842
"318",61008590,201806,57.6525876057279
"319",61011060,201812,72.8817268064501
"320",61021268,201812,59.194860637094
"321",61022915,201812,175.46702672845
"322",61045493,201906,46.6627917092673
"323",61063650,201812,98.1194503913242
"324",61064281,201812,140.240273792326
"325",61066148,201806,101.470428413068
"326",61174074,201906,28354.2690454046
"327",61193489,201809,18.786099997181
"328",61214680,201806,119.104963339252
"329",61230844,201809,110.689634156852
"330",61235451,201806,43.3703822902074
"331",61258114,201812,72.112273215174
"332",61276156,201906,632.748638085829
"333",61276156,201806,860.424310193979
"334",61322214,201806,118.655130298158
"335",61322214,201906,130.134766712425
"336",61338915,201812,78.3748788674399
"337",61353568,201812,103.488238076494
"338",61354643,201809,NA
"339",61356231,201806,264.667928405343
"340",61414605,201806,156.567406423747
"341",61419774,201806,35.2645936941722
"342",61421651,201806,22755.1478720846
"343",61421674,201812,292.77023850969
"344",61423446,201812,17.9852239437449
"345",61423598,201806,1348.74388757771
"346",61428945,201812,135.66382622871
"347",61428945,201812,135.66382622871
"348",61440531,201906,85.6642178296236
"349",61466506,201812,0
"350",61472525,201906,36.3952977669197
"351",61473638,201906,13.0432037007687
"352",61613212,201812,228.304652775706
"353",61618332,201812,97.2906881815297
"354",61637790,201809,1252.40807732006
"355",61665031,201812,266.061903792605
"356",61683983,201812,618.423378279374
"357",61714498,201809,83.4159287370862
"358",61781093,201812,172.636900501074
"359",61804372,201812,0
"360",66066491,201806,41.8248042615727
"361",66071847,201810,17.5837515695587
"362",100131835,201806,397.28955453792
"363",111630919,201812,435.92153357093
"364",112137138,201806,81.8768560046915
"365",112141197,201812,71.3791595837828
"366",112221341,201812,18.9315736408637
"367",112268359,201812,162.407433528914
"368",112325394,201906,115.613239584264
"369",112356150,201806,1229.47959938849
"370",112375583,201806,101.870525292681
"371",112382250,201806,499.274969181384
"372",112412584,201712,868.175046744355
"373",112431586,201806,5591.03980877981
"374",112435523,201905,191.22637483624
"375",112436149,201806,320.255488616
"376",112451752,201806,343.344523846792
"377",112453853,201806,138.689242407301
"378",112458675,201806,277.975485961123
"379",112475743,201806,83.597165149549
"380",112490986,201806,16.1695226954167
"381",112498292,201806,NA
"382",112526244,201807,1324.24937459814
"383",112527097,201906,75.9104599520139
"384",112527202,201905,61.8607605036393
"385",112528786,201812,206.855860441998
"386",112534700,201803,102.036849003801
"387",112538550,201808,230.199265454278
"388",112573432,201806,190.003988799828
"389",112578155,201807,86.5886605951496
"390",112594653,201806,169.464160588269
"391",112600290,201812,144.511908615449
"392",112600290,201712,69.332956440531
"393",112603787,201812,146.593065924498
"394",112627786,201812,32.5220154653426
"395",112647339,201812,138.075149945842
"396",112665181,201806,101.345422070053
"397",112683663,201806,142.651009060817
"398",112689903,201812,292.56691355839
"399",112710506,201812,428.657801655679
"400",112737223,201812,412.207708643523
"401",112783877,201812,80.3565593281318
"402",112840553,201806,297.708108522893
"403",112848726,201809,262.777100463174
"404",112848938,201806,NA
"405",112857055,201806,139.690973427894
"406",112889068,201812,460.211712135842
"407",112890302,201812,513.411546773696
"408",112911043,201812,429.182820562065
"409",113039699,201805,316.779332663655
"410",113048002,201812,417.95374776399
"411",113099604,201812,99.758820310347
"412",113132562,201812,195.602852162119
"413",113199716,201812,2.66857118466304
"414",113204890,201812,346.692946312251
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,68.0073535021107
"418",113306111,201806,118.644438438291
"419",113312539,201812,926.613757040285
"420",113317234,201812,281.464028906779
"421",113317929,201806,77.2618495346281
"422",113415840,201812,40.4854568380488
"423",113422018,201812,109.759209741584
"424",113442366,201812,0
"425",113458791,201806,NA
"426",113462888,201906,35.211959102356
"427",113580935,201812,161.567236629578
"428",113603198,201812,92.1000267757274
"429",113613094,201812,757.973703872678
"430",113633048,201812,382.042818421748
"431",113666873,201812,44.4312372219609
"432",113687996,201809,1257.02922514384
"433",113704014,201906,0.187967886899438
"434",113754129,201812,168.600026903273
"435",116083182,201806,90.6996427993185
"436",123799161,201906,54.1775571815995
"437",123799161,201706,31.8982547979573
"438",131562242,201806,124.576697227661
"439",131624178,201806,128.117699871336
"440",131671035,201806,171.592206036942
