"","ein","tax_pd","lb_to_assets"
"161",42716278,201812,0.305876013093736
"162",42716728,201706,0
"163",42716728,201806,0
"164",42732718,201812,0
"165",42733078,201812,0.0286991891838717
"166",42736725,201812,0.738490906882663
"167",42737054,201806,0.772470023737118
"168",42741009,201806,0.883439581547258
"169",42741543,201812,0.148842929465343
"170",42743779,201812,0
"171",42748880,201806,0.742582404937764
"172",42752507,201812,0.306395539071823
"173",42755270,201808,0.294267908785641
"174",42755382,201903,0.459899035755497
"175",42760272,201812,0.192733389774631
"176",42761591,201812,0
"177",42762580,201812,0.40516760470279
"178",42774010,201806,0.717680044014385
"179",42777769,201812,0.93151438576943
"180",42859066,201806,0.0566572190281275
"181",42898893,201806,0.578126061833042
"182",42921318,201806,0.885850209193735
"183",42921465,201806,0.506227561724062
"184",42925846,201806,0.019559433383851
"185",42933012,201806,0.732977787920517
"186",42944144,201812,0.958190587693379
"187",42961787,201806,0
"188",42964630,201812,0.741173666480463
"189",42970982,201806,0.038983174107146
"190",42982308,201812,0.212393203487613
"191",42983365,201906,0.577232973752139
"192",42983365,201806,0.475605560556831
"193",42988263,201812,0.0752438027641775
"194",43010725,201806,0.461713444154361
"195",43023407,201806,0.825747903330287
"196",43029411,201806,0.803860706778524
"197",43036200,201812,0.0465148565815182
"198",43074487,201812,0.744962506564151
"199",43085298,201906,NA
"200",43100105,201812,0.835497410800178
"201",43118543,201906,0.592068132565876
"202",43124357,201812,0.9841812711991
"203",43141970,201812,NA
"204",43159643,201809,0.955496291302457
"205",43172737,201806,0.0211342393679575
"206",43176887,201812,0.954848704971249
"207",43206608,201812,0
"208",43216873,201906,0
"209",43230028,201812,0.80633531957887
"210",43239046,201812,0.884262703650713
"211",43244024,201906,0.00408134249309566
"212",43246555,201812,0.0382713425334642
"213",43247717,201906,0.968707291626766
"214",43247717,201806,0.968317235641361
"215",43280116,201806,0.850506266145593
"216",43282997,201805,0
"217",43282997,201905,0
"218",43286347,201906,0.000315764061283129
"219",43289039,201812,0.724378131768449
"220",43290004,201906,NA
"221",43299189,201812,0.762210099165946
"222",43320522,201806,0.859296682901456
"223",43322638,201812,0.838983791641585
"224",43330633,201906,0.919934417886669
"225",43330633,201806,0.881246447091856
"226",43331491,201806,0.931982490529571
"227",43333866,201812,0.3080160982956
"228",43337726,201812,0.0690685285316435
"229",43362851,201809,0.864558664743754
"230",43364974,201806,0.808908968380651
"231",43370097,201806,0.611454310507918
"232",43371170,201809,0.00951279493159303
"233",43408855,201812,0.0273200502602764
"234",43458096,201906,0.484166765919638
"235",43460139,201812,0.00487731779900963
"236",43469536,201812,0.898152249801382
"237",43490920,201812,0.621409540024516
"238",43500087,201906,0.956455100520525
"239",43502138,201906,0.823708905365859
"240",43534715,201812,0.0771565954498719
"241",43534734,201812,0.874479059568601
