"id","ein","tax_pd","dar","currentratio","daysoperating_coh","der","selfsufficiency","months_coh","lb_to_assets","pred_profitmargin","postd_profitmargin","debt_mgmnt_ratio","equity_ratio","quick_ratio","st_debt_ratio","donation_ratio","asset_rev_ratio"
"100131835-201806",100131835,201806,0.16287233569831,12.6364078141705,12.6364078141705,0.242248016386881,0,4.27038584896491,0.758489105801846,0.599002954209749,0.599002954209749,2.07115108421821,0.83712766430169,12.6364078141705,0.0227564272696711,0.979303746475091,1.8131596616087
"10274725-201906",10274725,201906,0.585042611573318,1.48865276433744,1.43484713463849,0.545016153950299,0.381790044606773,0.365732211788977,0.53945123574186,0.0329123414592927,0.0174476779041672,1.74069455495032,0.414957388426682,1.43484713463849,0.441439103589028,0.611851954778802,0.436230934208084
"10275156-201808",10275156,201808,0.63395577284353,3.20333195522685,3.03065521307057,0.538430145558427,0.387919209167425,1.00982666482919,0.00304278611469485,0.00116956470969872,0.000645326730132914,1.73191031523231,0.36604422715647,3.03065521307057,0.538430145558427,0.600007429464363,0.190837886639908
"10277678-201809",10277678,201809,0.670876210242777,1.7103849056478,1.6425216284521,0.995467128701952,0.368775831211642,0.68198845149779,0.312663935233897,0.0548709024687506,0.0201977665811943,2.31471800465767,0.329123789757223,1.6425216284521,0.8766211622787,0.537358916829471,0.294019277645122
"10281875-201809",10281875,201809,0.369578905213864,7.1973291706006,7.08909715424315,-0.352509987167014,0.644637443948974,5.87101996605712,0.10453121668826,0.0626605286126199,0.0531759580827687,-3.5661317377007,0.630421094786136,7.08909715424315,0.0579496051278333,0.348435785194353,2.26874878178287
"10287624-201812",10287624,201812,0.039889169229599,10.0981275562372,9.9269661724608,0.0133806928835402,0.0968611128412467,9.60833120313565,0.152462992190604,0.762446972894402,0.749670845202814,0.0454420233395381,0.960110830770401,9.9269661724608,0.0122336081273855,0.957031385050576,1.08375316867843
"10315296-201812",10315296,201812,0.666048656471646,6.09846901521409,5.9960745821413,0.0759374444383441,0.547096764301233,5.94600016758239,0.307511606280334,0.0273487299966854,-0.0586840683314218,2.11425960999247,0.333951343528354,5.9960745821413,0.0716342017635374,0.401232076823614,6.25236627286377
"10315732-201809",10315732,201809,0.664432833986661,4.75198200641261,4.26400963486417,0.578031857264701,0.252445482085284,2.37505782513679,0.655056157836887,0.0225261638069985,-0.00363882368431806,13.3353864595099,0.335567166013339,4.26400963486417,0.0858257868915414,0.758797531861955,0.790631427442826
"10347504-201809",10347504,201809,0.646010771876161,38.760184367563,38.6411730465393,0.0301928860847753,0.20211328317182,20.444721013388,0.0785336199506327,-0.0796868393490709,-0.111722395159896,2.20422017310264,0.353989228123839,38.6411730465393,0.0337871420885396,0.460123037544678,8.15016195875018
"10353284-201812",10353284,201812,1,14.5948764452505,13.7163908410791,-0.0452673348612869,0.905035343012363,13.7163908410791,0.659131380650368,0.0291291712108011,-0.102418190347954,-2.94979988369309,-0.512873145784538,13.7163908410791,-0.0452673348612869,0,3.47274433227117
"10355563-201812",10355563,201812,0.429796857480607,8.28640557313081,8.03618787270863,0.583287255519693,0.352952578687331,5.98521841690458,0.0434493640380918,-0.0324675723189314,-0.0361816429950685,2.17866832975427,0.570203142519393,8.03618787270863,0.201801781761965,0.631067863664539,0.439870495705972
"10367546-201906",10367546,201906,1,59.1898874281241,59.1309289204438,-0.101563356802878,1.09507662809588,58.1929649326458,0.173684387287979,0.233910042964091,0.0979284369114878,-9.0004661007655,-0.124992717599831,59.1309289204438,-0.101563356802878,0,5.03692080901607
"10376239-201809",10376239,201809,1,9.12418581347076,8.80620571183165,-0.0701788755104809,0.303868878280588,8.71036432610407,0.801525250651907,0.213564092940735,-0.0224180285919001,-5.49607940646082,-0.222416000607776,8.80620571183165,-0.0701788755104809,0.689162032140298,3.05389470811014
"10403876-201806",10403876,201806,1,30.604125083167,30.5709633364849,-0.0957610550918645,1.00664706849939,30.5425639948174,0.181984481483493,0.17490598233959,0.0180041748811319,-5.01271247539494,-0.249207987397995,30.5709633364849,-0.0957610550918645,0,4.95615960636835
"10403876-201906",10403876,201906,1,23.6628242074928,23.6366474543708,-0.123321344306638,0.966434768147676,23.616581278685,0.156283753610702,0.134023834020594,-0.0230036374830885,-4.85394338064227,-0.259474491769349,23.6366474543708,-0.123321344306638,0,4.74400301368309
"10409428-201906",10409428,201906,0.144398023859827,6.21089108910891,6.21089108910891,0.168767754033531,0,4.63806380638064,0.103159600324062,0.0250895068056717,0.0136547166537861,0.168767754033531,0.855601976140173,6.21089108910891,0.168767754033531,0.999917196347176,0.248217749948741
"10418917-201806",10418917,201806,0.058468602946184,4.43736135131269,4.25907961978076,0.0783424564607644,0,3.04828940353432,0.432794937459624,0.011191995243479,-0.00978714448473415,0.078452885472381,0.941531397053816,4.25907961978076,0.0620120621254374,0.983016385968263,0.989670360864887
"10421229-201906",10421229,201906,1,14.9639062298584,14.9339447176031,-0.188050615026596,1.01630220294161,14.9339447176031,0.390936011979876,0.179063037344198,0.0309450030565568,-6.35120927526596,-0.186873648283976,14.9339447176031,-0.188050615026596,0,4.65336838586696
"10424969-201809",10424969,201809,0.499725191880099,2.61411500671982,2.34581609885306,0.408927149830216,0.312627937241937,0.702956458200133,0.409699483864426,0.0113575478872527,-0.00484296663083098,1.29590811398033,0.500274808119901,2.34581609885306,0.315205905680147,0.685853186970266,0.598726896172395
