"","ein","tax_pd","months_coh"
"163",42716728,201806,314.896915693061
"164",42732718,201812,6.40753331273064
"165",42733078,201812,223.639439529928
"166",42736725,201812,235.516288554678
"167",42737054,201806,152.371988914944
"168",42741009,201806,15.4547223966665
"169",42741543,201812,52.5201102208549
"170",42743779,201812,NA
"171",42748880,201806,36.7239606140603
"172",42752507,201812,97.2157107320624
"173",42755270,201808,88.1633517280472
"174",42755382,201903,294.720173698199
"175",42760272,201812,38.4122534587499
"176",42761591,201812,18270.3175033921
"177",42762580,201812,9.53270813250512
"178",42774010,201806,46.5433266932271
"179",42777769,201812,31.7342222895674
"180",42859066,201806,28.5079302666501
"181",42898893,201806,35.3174115396876
"182",42921318,201806,47.4134879831249
"183",42921465,201806,53.3822582401344
"184",42925846,201806,47.3980036868846
"185",42933012,201806,1035.80159879146
"186",42944144,201812,7.59843758324524
"187",42961787,201806,1357.75
"188",42964630,201812,123.672507361852
"189",42970982,201806,366.785418870828
"190",42982308,201812,20.8444164599846
"191",42983365,201906,49.8835140110452
"192",42983365,201806,65.0897832817337
"193",42988263,201812,349.075722859457
"194",43010725,201806,139.651247920133
"195",43023407,201806,48.7197364139278
"196",43029411,201806,36.709774288035
"197",43036200,201812,54.4169618418934
"198",43074487,201812,4.27771321462043
"199",43085298,201906,NA
"200",43100105,201812,132.062048752591
"201",43118543,201906,255.202183473497
"202",43124357,201812,15.588769526182
"203",43141970,201812,NA
"204",43159643,201809,35.5856750710058
"205",43172737,201806,140.185629873459
"206",43176887,201812,7.37323177366703
"207",43206608,201812,120.858407079646
"208",43216873,201906,NA
"209",43230028,201812,73.8283623799604
"210",43239046,201812,NA
"211",43244024,201906,234.280201778564
"212",43246555,201812,124.284126227077
"213",43247717,201906,348.540025094103
"214",43247717,201806,187.119010819165
"215",43280116,201806,22.3295796238429
"216",43282997,201805,2.01480484522207
"217",43282997,201905,1.6753869448183
"218",43286347,201906,4795.91393939394
"219",43289039,201812,24.0956960664257
"220",43290004,201906,NA
"221",43299189,201812,1085.22323094143
"222",43320522,201806,676.511545293073
"223",43322638,201812,84.025732576901
"224",43330633,201906,8.67580456895114
"225",43330633,201806,2.63403155854941
"226",43331491,201806,46.8973020657208
