"","ein","tax_pd","equity_ratio"
"157",42685432,201809,0.446852421728659
"158",42686893,201812,0.402283653814524
"159",42690210,201812,0.966131627737603
"160",42692763,201806,0.489921460884284
"161",42716278,201812,0.473832737981184
"162",42716728,201706,0.961387386375689
"163",42716728,201806,0.964754066320073
"164",42732718,201812,0.404707401880007
"165",42733078,201812,0.465126477940171
"166",42736725,201812,0.13358194327
"167",42737054,201806,0.201763812707954
"168",42741009,201806,0.151983875068937
"169",42741543,201812,0.51442567749152
"170",42743779,201812,1
"171",42748880,201806,0.938802060935107
"172",42752507,201812,0.691822992278301
"173",42755270,201808,0.506493416127459
"174",42755382,201903,0.97576624823439
"175",42760272,201812,0.715542386170944
"176",42761591,201812,1.01287628040945
"177",42762580,201812,0.741430629267491
"178",42774010,201806,0.943726240468989
"179",42777769,201812,0.0144782920132118
"180",42859066,201806,-0.139694892889362
"181",42898893,201806,0.891589825877131
"182",42921318,201806,0.0588583997253965
"183",42921465,201806,0.362382524780487
"184",42925846,201806,0.798494391596966
"185",42933012,201806,0.321211764815842
"186",42944144,201812,-0.0377053120275091
"187",42961787,201806,0.673712250965594
"188",42964630,201812,0.140433555381414
"189",42970982,201806,0.686327823549472
"190",42982308,201812,0.449564408340265
"191",42983365,201906,0.856114687799252
"192",42983365,201806,0.694480828133709
"193",42988263,201812,0.971672235992393
"194",43010725,201806,0.240953005265704
"195",43023407,201806,0.0602982307619332
"196",43029411,201806,0.992575857293348
"197",43036200,201812,0.819860007032272
"198",43074487,201812,-0.189578492315069
"199",43085298,201906,1
"200",43100105,201812,0.97158479355922
"201",43118543,201906,0.77344780782273
"202",43124357,201812,0.279189820432766
"203",43141970,201812,1
"204",43159643,201809,-0.381570906904114
"205",43172737,201806,0.671557874245997
"206",43176887,201812,-0.18243202009524
"207",43206608,201812,0.997127356763065
"208",43216873,201906,1
"209",43230028,201812,0.853618505170188
"210",43239046,201812,1
"211",43244024,201906,0.800574473814262
"212",43246555,201812,0.47938837955437
"213",43247717,201906,0.901407250032524
"214",43247717,201806,0.879099872871313
"215",43280116,201806,0.0165259570087914
"216",43282997,201805,-1.01509726605604
"217",43282997,201905,-1.04158335727562
"218",43286347,201906,0.389717356185656
"219",43289039,201812,0.731066474968995
"220",43290004,201906,0.961864176083072
"221",43299189,201812,0.114538235958746
"222",43320522,201806,0.864294200397201
"223",43322638,201812,0.506274094803847
"224",43330633,201906,-0.0919100978529755
"225",43330633,201806,-0.0695105512578617
"226",43331491,201806,0.438004327528802
"227",43333866,201812,0.915392916700635
"228",43337726,201812,0.685220458051598
"229",43362851,201809,-0.170100503061541
"230",43364974,201806,0.889587853302221
"231",43370097,201806,0.734556194268165
"232",43371170,201809,0.957513328715677
"233",43408855,201812,0.560635433494884
"234",43458096,201906,0.357892365461443
"235",43460139,201812,0.789898071061097
"236",43469536,201812,0.988985723571755
"237",43490920,201812,-0.256792396488606
"238",43500087,201906,-0.613328982959868
"239",43502138,201906,0.886662066815853
"240",43534715,201812,0.200400586305345
