"","ein","tax_pd","debt_mgmnt_ratio"
"157",42685432,201809,1.23787530597121
"158",42686893,201812,1.48580818663106
"159",42690210,201812,0.0469609963357391
"160",42692763,201806,1.04114348898913
"161",42716278,201812,1.81294788113452
"162",42716728,201706,0.0401634285736535
"163",42716728,201806,0.0365335943225075
"164",42732718,201812,1.47092095512623
"165",42733078,201812,1.31218505284215
"166",42736725,201812,6.4860417173208
"167",42737054,201806,3.95629016213857
"168",42741009,201806,5.65961775643134
"169",42741543,201812,2.12468423280028
"170",42743779,201812,0
"171",42748880,201806,0.0691615144084007
"172",42752507,201812,0.464303106652602
"173",42755270,201808,0.974359326614327
"174",42755382,201903,0.0276656338997903
"175",42760272,201812,0.413309349541391
"176",42761591,201812,-0.0127125895417758
"177",42762580,201812,0.38604637896118
"178",42774010,201806,0.0596293258763739
"179",42777769,201812,68.0689204974919
"180",42859066,201806,-1.31373583734285
"181",42898893,201806,0.132511688050851
"182",42921318,201806,15.9899284497284
"183",42921465,201806,2.78963812684307
"184",42925846,201806,0.263860704457873
"185",42933012,201806,2.11321100138821
"186",42944144,201812,-26.4239691612389
"187",42961787,201806,0.48431321913288
"188",42964630,201812,9.81084418271013
"189",42970982,201806,0.514889937890502
"190",42982308,201812,1.41815643685981
"191",42983365,201906,0.172490986130484
"192",42983365,201806,0.452562205118895
"193",42988263,201812,0.0293147187175492
"194",43010725,201806,3.15018687522606
"195",43023407,201806,15.5842345183917
"196",43029411,201806,0.00747967286540414
"197",43036200,201812,0.224059651372391
"198",43074487,201812,-6.27485996849291
"199",43085298,201906,NA
"200",43100105,201812,-0.054752193963659
"201",43118543,201906,0.381584233426039
"202",43124357,201812,2.58851933672097
"203",43141970,201812,NA
"204",43159643,201809,-3.62074487835964
"205",43172737,201806,NA
"206",43176887,201812,-6.48149387085635
"207",43206608,201812,0.00288091908967418
"208",43216873,201906,0
"209",43230028,201812,0.171483506909949
"210",43239046,201812,0
"211",43244024,201906,4.51746260232904
"212",43246555,201812,1.14747755551878
"213",43247717,201906,0.128413277590875
"214",43247717,201806,0.163420225016357
"215",43280116,201806,85.0920613602501
"216",43282997,201805,-1.98512727148336
"217",43282997,201905,-1.96007678407575
"218",43286347,201906,1.56596218805204
"219",43289039,201812,0.371563157729918
"220",43290004,201906,NA
"221",43299189,201812,7.7307089342652
"222",43320522,201806,NA
"223",43322638,201812,0.975214632278279
"224",43330633,201906,-11.8801973162911
"225",43330633,201806,-15.3863051278406
"226",43331491,201806,1.28308246551341
"227",43333866,201812,NA
"228",43337726,201812,0.459384331348582
"229",43362851,201809,-4.21292591267746
"230",43364974,201806,0.124116068230833
"231",43370097,201806,0.398678484866132
"232",43371170,201809,0.0519458321355595
"233",43408855,201812,0.783690327538181
"234",43458096,201906,1.8126336311264
"235",43460139,201812,0.265986127370416
"236",43469536,201812,0.0111369417836147
"237",43490920,201812,-4.89419629893275
"238",43500087,201906,-2.63044634736499
"239",43502138,201906,0.127825399806672
"240",43534715,201812,3.99000536094404
"241",43534734,201812,-4.94677042384303
"242",43535025,201812,NA
"243",43538884,201812,-0.36841283451172
"244",43555681,201812,1.03391495164445
"245",43562853,201806,-30.1116749346764
"246",43571892,201812,3.44545120247113
"247",43586322,201812,NA
"248",43611860,201812,0.589482598299681
"249",43613194,201812,0.104550547583764
"250",43617019,201806,0.16166188416926
"251",43617951,201806,9.84296685959738
"252",43627371,201812,4.77153443159063
"253",43627393,201806,0.589471729644416
"254",43635313,201812,0.539440071746438
"255",43669252,201806,-2.72791840048429
"256",43728351,201812,NA
"257",43754904,201812,0.502671716785268
"258",46125732,201809,1.37868774085633
"259",46132439,201812,0.761249240989222
"260",46138418,201812,0.312238118270516
"261",50258819,201812,0.27861681557651
"262",50258871,201812,0.294903191384635
"263",50258939,201806,1.74499078995651
"264",50259094,201812,0.437612928316819
"265",50300152,201812,4.31066362548324
"266",50309695,201809,0.28570647201494
"267",50311985,201806,0.408940800354689
"268",50312991,201809,0.482259590380618
"269",50340202,201812,0.042016388896857
"270",50340915,201812,0.628306319488094
"271",50343709,201909,1.01899303712591
"272",50370157,201812,0.0105362352790851
"273",50370946,201808,-11.359786610713
"274",50376075,201806,0.99312277698752
"275",50380608,201812,0.345935458258665
"276",50381201,201812,0.682793166205183
"277",50383354,201812,0.00890950633372062
"278",50384495,201812,NA
"279",50396559,201812,NA
"280",50432730,201806,0.112677956952972
"281",50445955,201906,0.890656901294801
"282",50448151,201806,2.42292062152851
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,0.127914507977853
"286",50450845,201806,0.0748840477762422
"287",50463993,201806,NA
"288",50475365,201812,1.14673736689781
"289",50486136,201809,1.53319955161745
"290",50489479,201903,0.489264156192919
"291",50489479,201803,0.631114522057414
"292",50495681,201812,1.27743466935552
"293",50497260,201812,NA
"294",50513907,201812,NA
"295",50520256,201812,NA
"296",56015153,201806,4.54273091529665
"297",56018801,201806,0.201352245542755
"298",60646969,201806,0.644795007491807
"299",60646974,201906,0.761244682539728
"300",60646994,201806,0.64196555112813
"301",60653158,201806,1.45648192117224
"302",60676851,201809,0.723271525045647
"303",60795640,201812,0.511547146816785
"304",60801861,201806,5.19527780119481
"305",60806128,201903,1.77507270080235
"306",60813725,201812,2.80446559255634
"307",60864050,201812,5.91104659569179
"308",60876558,201806,3.55709882667302
"309",60876677,201808,3.01772011552591
"310",60890788,201812,8.16247535763029
"311",60903918,201812,0.842321869206394
"312",60906671,201812,2.26014154494805
"313",60939659,201806,3.52219461943368
"314",60954802,201806,1.78176907869894
"315",60979507,201809,-1.49085497998052
"316",60993174,201812,0.0312242300391855
"317",61006312,201806,0.514184238919958
"318",61008590,201806,-3.19958829745779
"319",61011060,201812,0.960722870700471
"320",61021268,201812,3.13560671895294
"321",61022915,201812,0.467586415433154
"322",61045493,201906,0.903065043888675
"323",61063650,201812,-2.36508199106945
"324",61064281,201812,1.22149273353188
"325",61066148,201806,11.0086527120785
"326",61174074,201906,2.43350269944071
"327",61193489,201809,0.32185823943998
"328",61214680,201806,0.325603380940659
"329",61230844,201809,-0.0698978941739381
"330",61235451,201806,0.480415799879791
"331",61258114,201812,NA
"332",61276156,201906,2.006594051234
"333",61276156,201806,2.54985837090377
"334",61322214,201806,0.0102534487890202
"335",61322214,201906,0.0266308091143995
"336",61338915,201812,5.25347088843769
"337",61353568,201812,-0.0415554547795954
"338",61354643,201809,NA
"339",61356231,201806,0.124099362934673
"340",61414605,201806,0.00635433544412135
"341",61419774,201806,13.1414935429534
"342",61421651,201806,0.330524986015876
"343",61421674,201812,0.0941334573028045
"344",61423446,201812,NA
"345",61423598,201806,0.62352323050946
"346",61428945,201812,0.97327849107961
"347",61428945,201812,0.97327849107961
"348",61440531,201906,0.0171801438776828
"349",61466506,201812,NA
"350",61472525,201906,0.114866478447079
"351",61473638,201906,0.0587352835665134
"352",61613212,201812,0.0827985867792561
"353",61618332,201812,-18.1593860327901
"354",61637790,201809,0.442501319787881
"355",61665031,201812,2.14768682569051
"356",61683983,201812,0.121090681845447
"357",61714498,201809,0.204800740529628
"358",61781093,201812,NA
"359",61804372,201812,NA
"360",66066491,201806,18.5243814968259
"361",66071847,201810,-3.68249191057865
"362",100131835,201806,2.07115108421821
"363",111630919,201812,1.20247530170012
"364",112137138,201806,NA
"365",112141197,201812,0.371413333102074
"366",112221341,201812,0.217132199023133
"367",112268359,201812,0.23484779568721
"368",112325394,201906,5.88635113218289
"369",112356150,201806,0.0140179943455201
"370",112375583,201806,0.809591008946399
"371",112382250,201806,0.0147038185563277
"372",112412584,201712,2.07681209354408
"373",112431586,201806,0.068402249182229
"374",112435523,201905,0.222652332436663
"375",112436149,201806,0.136452199302344
"376",112451752,201806,0.53746078053544
"377",112453853,201806,1.66383450248407
"378",112458675,201806,-7.11995431610528
"379",112475743,201806,0.961342346638333
"380",112490986,201806,0.392102143182855
"381",112498292,201806,NA
"382",112526244,201807,0.0956267533437268
"383",112527097,201906,2.92999294283698
"384",112527202,201905,35.5790652530984
"385",112528786,201812,0.0694682915643648
"386",112534700,201803,0.243777774969909
"387",112538550,201808,1.51403804468324
"388",112573432,201806,0.171566079583553
"389",112578155,201807,-9.15636374552523
"390",112594653,201806,0.197593526371232
"391",112600290,201812,0.833161590637279
"392",112600290,201712,0.6281218817867
"393",112603787,201812,2.46361711094642
"394",112627786,201812,8.23444263208148
"395",112647339,201812,0.0461639056744991
"396",112665181,201806,2.93883259565942
"397",112683663,201806,4.71293970932083
