"","ein","tax_pd","donation_ratio"
"169",42741543,201812,0.327851192771299
"170",42743779,201812,0.0631290552071873
"171",42748880,201806,0.961926207550006
"172",42752507,201812,0.251477442080179
"173",42755270,201808,0.161097277453481
"174",42755382,201903,0.919537927259584
"175",42760272,201812,0.509489479115555
"176",42761591,201812,0
"177",42762580,201812,0.271927312016649
"178",42774010,201806,0.645791094090261
"179",42777769,201812,0.0776323120431993
"180",42859066,201806,1.00866224819046
"181",42898893,201806,0.665777520742042
"182",42921318,201806,0.0349208176975385
"183",42921465,201806,0.454787045145419
"184",42925846,201806,0.981223302387169
"185",42933012,201806,0.231225649330519
"186",42944144,201812,0.355473092706124
"187",42961787,201806,0
"188",42964630,201812,0.580549637157774
"189",42970982,201806,0.586058996768926
"190",42982308,201812,0.648044272076669
"191",42983365,201906,0.822215928570364
"192",42983365,201806,0.821083165228837
"193",42988263,201812,0.51853821637067
"194",43010725,201806,0.743205047599441
"195",43023407,201806,0.116036964876016
"196",43029411,201806,0.189420474223684
"197",43036200,201812,0.90417987944659
"198",43074487,201812,0
"199",43085298,201906,NA
"200",43100105,201812,0
"201",43118543,201906,0.983645427560526
"202",43124357,201812,0.0983444488440645
"203",43141970,201812,NA
"204",43159643,201809,0
"205",43172737,201806,0.994919418340619
"206",43176887,201812,0
"207",43206608,201812,NA
"208",43216873,201906,0
"209",43230028,201812,0
"210",43239046,201812,0.724405239240845
"211",43244024,201906,0.730453924021894
"212",43246555,201812,0.0270934977434906
"213",43247717,201906,0.569152281957594
"214",43247717,201806,0.375579593494712
"215",43280116,201806,0.762574796465802
"216",43282997,201805,0
"217",43282997,201905,0
"218",43286347,201906,0.182612049607944
"219",43289039,201812,0.438396374062116
"220",43290004,201906,NA
"221",43299189,201812,0
"222",43320522,201806,0.817750640571335
"223",43322638,201812,0.65785528667313
"224",43330633,201906,0.0712807387703486
"225",43330633,201806,0.033831984564882
"226",43331491,201806,0.488893958900315
"227",43333866,201812,0.326436075910072
"228",43337726,201812,0.0807536819561373
"229",43362851,201809,0.00438826982524461
"230",43364974,201806,0
"231",43370097,201806,0.944391893468502
"232",43371170,201809,0.958747310697358
"233",43408855,201812,0.904262078430376
"234",43458096,201906,0.966048253602226
"235",43460139,201812,0.0252329890816808
"236",43469536,201812,0.21047549356126
"237",43490920,201812,0
"238",43500087,201906,0
"239",43502138,201906,0.632832491398747
"240",43534715,201812,0
"241",43534734,201812,0.459744158948058
"242",43535025,201812,0.47978067169294
"243",43538884,201812,0.547794534795764
"244",43555681,201812,0.0174560353747721
"245",43562853,201806,0.356185470758889
"246",43571892,201812,0.882334401625421
"247",43586322,201812,NA
"248",43611860,201812,0.716755138151627
"249",43613194,201812,1
"250",43617019,201806,4.00493816200501
"251",43617951,201806,0.97821584661859
"252",43627371,201812,0.890185128639378
"253",43627393,201806,0.968058861677505
"254",43635313,201812,0.212237977025267
"255",43669252,201806,2.49745259834968e-05
"256",43728351,201812,NA
"257",43754904,201812,0.885856264696807
"258",46125732,201809,0.0478420153717239
"259",46132439,201812,0.0097368127647977
"260",46138418,201812,0.831009344613723
"261",50258819,201812,0.0367421495909607
"262",50258871,201812,0.462943161281018
"263",50258939,201806,0.744255658203588
"264",50259094,201812,0.971000304461496
"265",50300152,201812,0.0181202607106606
"266",50309695,201809,0.867680541621468
"267",50311985,201806,0.902627904830376
"268",50312991,201809,0.988826017103074
"269",50340202,201812,0.941377319587629
"270",50340915,201812,0.707977479028197
"271",50343709,201909,0.118286110156961
"272",50370157,201812,0.537337815541721
"273",50370946,201808,-0.650809747875553
"274",50376075,201806,0.00981196014683164
"275",50380608,201812,0.857297025985301
"276",50381201,201812,0.364144011756062
"277",50383354,201812,0
"278",50384495,201812,0
"279",50396559,201812,0
"280",50432730,201806,0.13018084810184
"281",50445955,201906,0.0709065376493983
"282",50448151,201806,0.884051804345791
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,0.785608072919672
"286",50450845,201806,0.75813368927541
"287",50463993,201806,0.26038286486685
"288",50475365,201812,0.971887819750119
"289",50486136,201809,0.329486250240056
"290",50489479,201903,0
"291",50489479,201803,0
"292",50495681,201812,0.0135904357886618
"293",50497260,201812,NA
"294",50513907,201812,0
"295",50520256,201812,0
"296",56015153,201806,0.0168419366086531
"297",56018801,201806,0.589031523038033
"298",60646969,201806,0.912093407999232
"299",60646974,201906,0.580338451192692
"300",60646994,201806,0.803103299318451
"301",60653158,201806,0.825088596298356
"302",60676851,201809,0.909821615828245
"303",60795640,201812,0.0149552435718812
"304",60801861,201806,0.917559302376927
"305",60806128,201903,0.920087683557025
"306",60813725,201812,0.94950203043837
"307",60864050,201812,0.092933137497997
"308",60876558,201806,0.991932310989895
"309",60876677,201808,0.266737567674458
"310",60890788,201812,0.405276104784471
"311",60903918,201812,0
"312",60906671,201812,0.597806125160208
"313",60939659,201806,0.927293977987688
"314",60954802,201806,0.916769549235392
"315",60979507,201809,0.980796747169722
"316",60993174,201812,0.365755999155657
"317",61006312,201806,0.477843832812215
"318",61008590,201806,0.188964874447969
"319",61011060,201812,0.106849776753669
"320",61021268,201812,0.227025579790781
"321",61022915,201812,0.672146904575737
"322",61045493,201906,0
"323",61063650,201812,0
"324",61064281,201812,0.894561326019872
"325",61066148,201806,0.325194368674157
"326",61174074,201906,0.728348640818591
"327",61193489,201809,0.964391121921624
"328",61214680,201806,0.516388999409862
"329",61230844,201809,0
"330",61235451,201806,0.485249372249437
"331",61258114,201812,0.337575050753747
"332",61276156,201906,0.720233315279835
"333",61276156,201806,0.681954761186063
"334",61322214,201806,0.578920750967101
"335",61322214,201906,0.602046238648531
"336",61338915,201812,0.58540815694448
"337",61353568,201812,0
"338",61354643,201809,NA
"339",61356231,201806,0
"340",61414605,201806,0.797442576808906
"341",61419774,201806,0.990281542103441
"342",61421651,201806,NA
