"","ein","tax_pd","asset_rev_ratio"
"1",10274725,201906,0.436230934208084
"2",10275156,201808,0.190837886639908
"3",10277678,201809,0.294019277645122
"4",10281875,201809,2.26874878178287
"5",10287624,201812,1.08375316867843
"6",10315296,201812,6.25236627286377
"7",10315732,201809,0.790631427442826
"8",10347504,201809,8.15016195875018
"9",10353284,201812,3.47274433227117
"10",10355563,201812,0.439870495705972
"11",10367546,201906,5.03692080901607
"12",10376239,201809,3.05389470811014
"13",10403876,201806,4.95615960636835
"14",10403876,201906,4.74400301368309
"15",10409428,201906,0.248217749948741
"16",10418917,201806,0.989670360864887
"17",10421229,201906,4.65336838586696
"18",10424969,201809,0.598726896172395
"19",10449761,201909,5.83536171235417
"20",10449761,201809,6.02999772484342
"21",10462712,201806,5.45051905545962
"22",10472964,201806,7.18886359334209
"23",10482400,201809,5.16311702920368
"24",10485474,201812,2.62917847995922
"25",10490195,201806,3.21020295395606
"26",10493897,201809,0.916381836913403
"27",10495250,201906,9.32006259473992
"28",10495262,201806,0.82975844632403
"29",10525140,201806,1.4981027144002
"30",10533179,201812,4.1571944708189
"31",10538683,201906,3.27976863808081
"32",10539222,201809,6.75006391814506
"33",10544468,201809,10.6954158937061
"34",10563728,201812,4.1247535524607
"35",10581489,201903,607.9594
"36",10594671,201812,9.43000673803998
"37",10638984,201812,6.34271697208088
"38",10687154,201812,0.314467911857677
"39",10701611,201812,0.613411673874782
"40",10714863,201812,5.57338364395193
"41",10721933,201812,0.0681536505116974
"42",10732253,201812,12.2363604350733
"43",10740130,201806,8.15958559467996
"44",10793507,201812,11.3620591523493
"45",10806304,201809,1.51274433208256
"46",10815503,201812,36.7430252282817
"47",10851864,201812,12.324780602365
"48",10852709,201812,0.004785621040451
"49",10863576,201812,5.12984908717524
"50",10951147,201812,8.42817711732331
"51",16020406,201810,0.422844546766271
"52",16020566,201812,0.22079436206165
"53",16023748,201809,0.537462151535331
"54",20271288,201906,3.5970682038348
"55",20318035,201803,11.77427081369
"56",20350170,201809,0.389867331734227
"57",20351932,201806,0.988239819555581
"58",20364019,201812,53.3386984446336
"59",20370974,201812,17.0665291490597
"60",20373020,201806,2.24329450532608
"61",20418158,201812,4.90244831019739
"62",20426348,201812,3.76490284631774
"63",20427331,201812,3.00677984649592
"64",20433505,201903,7.08804638065264
"65",20444364,201812,3.95348062333402
"66",20452666,201906,12.2055695468628
"67",20455301,201803,5.0035843248173
"68",20455301,201903,5.13149793488029
"69",20483387,201812,24.063345410628
"70",20502885,201809,7.88812263642117
"71",20531034,201812,1.18767964831201
"72",20549245,201812,7.39835296708972
"73",20591170,201803,0.17027558518279
"74",20620273,201812,8.58041357641299
"75",20622034,201812,2.76941329153262
"76",20650286,201806,4.18553176326863
"77",20698186,201812,0
"78",20749992,201806,0.564070622665486
"79",20812143,201812,2.12606732703767
"80",30216254,201809,0.689814704347426
"81",30216505,201809,0.693162754894804
"82",30216740,201809,0.434532770579063
"83",30216837,201809,0.344730349368338
"84",30264362,201809,1.81931779595812
"85",30276709,201809,0.406348466117906
"86",30280726,201812,3.8724393433096
"87",30285606,201809,2.32884454132422
"88",30301520,201812,3.68906760741945
"89",30301526,201812,4.78887823825559
"90",30305214,201809,5.4590135587418
"91",30315075,201812,2.33297459528852
"92",30318824,201809,4.29049095090491
"93",30337709,201806,2.82177451662978
"94",30340615,201812,3.22255712093222
"95",30347212,201812,18.3591942107305
"96",30374933,201809,0.542393915349456
"97",30403629,201806,4.8330051834291
"98",30406267,201806,6.37627214185492
"99",30418327,201806,0.376393702898849
"100",30433655,201812,5.97993707757777
"101",30433895,201809,11.4689051785292
"102",30433925,201806,9.85845788129378
"103",30460207,201812,8.1700630111275
"104",30461881,201812,0.313876637856636
"105",30463073,201806,7.91351663550834
"106",30494844,201906,8.44910999066813
"107",30494844,201806,6.99522792502951
"108",30496558,201812,16.249510560038
"109",30512382,201906,8.75137537800124
"110",30517961,201812,1.77751938625581
"111",30522656,201906,0.27898346696284
"112",30551530,201812,0.789387975878101
"113",30589352,201806,0.00930459586021751
"114",30589352,201906,0.0102314849837355
"115",30594239,201906,6.42854226535387
"116",30596955,201806,13.024903120287
"117",42104319,201812,3.88425590322269
"118",42304133,201808,0.303077025230673
"119",42313571,201812,5.19045120781831
"120",42324773,201809,1.43383815076199
"121",42376180,201809,0.279284775737288
"122",42378175,201809,1.37171428155749
"123",42378885,201809,0.87467333790638
"124",42382027,201806,0.292795653330457
"125",42382027,201906,0.294362365355888
"126",42383153,201812,0.422014197292536
"127",42384972,201809,0.158635798497494
"128",42385280,201809,0.195913779244752
"129",42389659,201806,0.536492415246098
"130",42391348,201809,0.490364142897414
"131",42428915,201906,0.186415171787992
"132",42437845,201806,2.54891804417633
"133",42454675,201806,0.144935861251793
"134",42455301,201806,0.250740539269366
"135",42457732,201806,0.849202759528124
"136",42457732,201906,0.83022999488387
"137",42476258,201806,1.90633148871228
"138",42478888,201812,1.55081150050088
"139",42483221,201812,15.829633641484
"140",42483322,201906,2.8829123929664
"141",42516093,201906,1.68748586690897
"142",42518368,201806,0.475939427744115
"143",42529221,201806,0.875543135200064
"144",42529221,201906,1.1179889625166
"145",42531287,201812,5.51179001477916
"146",42546441,201806,0.480003592259245
"147",42614551,201812,0.815169754312987
"148",42622178,201712,4.21904825680572
"149",42622178,201812,4.71833901623318
"150",42622751,201812,-3.17348410524896
"151",42652919,201812,2.01115575880853
"152",42660283,201812,4.47801141725068
"153",42666507,201812,5.01307045407981
"154",42678309,201906,2.16256147238228
