"","ein","tax_pd","st_debt_ratio"
"155",42681632,201812,0.206369031243065
"156",42684781,201812,-0.0741013268774188
"157",42685432,201809,0.020709478931964
"158",42686893,201812,0.0753200672744745
"159",42690210,201812,0.0350556500688282
"160",42692763,201806,0.17654557909261
"161",42716278,201812,0.0547678755039354
"162",42716728,201706,0.0401634285736535
"163",42716728,201806,0.0365335943225075
"164",42732718,201812,0.264128989095658
"165",42733078,201812,0.0363941671364454
"166",42736725,201812,0.0335858335074123
"167",42737054,201806,0.078756615866327
"168",42741009,201806,0.487137494674624
"169",42741543,201812,0.0533104719683211
"170",42743779,201812,0
"171",42748880,201806,0.0527753754972226
"172",42752507,201812,0.0229419805890907
"173",42755270,201808,0.0176574964974338
"174",42755382,201903,0.0159678853007744
"175",42760272,201812,0.0189238540172333
"176",42761591,201812,0.000648453368328112
"177",42762580,201812,0.201812723852715
"178",42774010,201806,0.0132275393680688
"179",42777769,201812,0.906960764103621
"180",42859066,201806,-2.819
"181",42898893,201806,0.0892176603756413
"182",42921318,201806,0.246345083750631
"183",42921465,201806,0.0462099113140212
"184",42925846,201806,0.112045387088744
"185",42933012,201806,0.00963076121022545
"186",42944144,201812,-1.48121417693479
"187",42961787,201806,0.00817193193882529
"188",42964630,201812,0.11452115630747
"189",42970982,201806,0.0106957758012316
"190",42982308,201812,0.0891207466915561
"191",42983365,201906,0.0200589788958125
"192",42983365,201806,0.0223687708457598
"193",42988263,201812,0.0206202445550356
"194",43010725,201806,0.00945122111034812
"195",43023407,201806,0.36924555790865
"196",43029411,201806,0.0070964402863729
"197",43036200,201812,0.13181262700309
"198",43074487,201812,-0.0583646945562752
"199",43085298,201906,NA
"200",43100105,201812,0.0152431339246993
"201",43118543,201906,0.0246726509726956
"202",43124357,201812,0.0405902711705645
"203",43141970,201812,NA
"204",43159643,201809,-0.00910916939805884
"205",43172737,201806,0.116522466328802
"206",43176887,201812,-0.119000345303867
"207",43206608,201812,0.00288091908967418
"208",43216873,201906,0
"209",43230028,201812,0.0360968034798876
"210",43239046,201812,0
"211",43244024,201906,0.0219613047497931
"212",43246555,201812,0.0858180441029696
"213",43247717,201906,0.00115722176560388
"214",43247717,201806,0.00120486140783183
"215",43280116,201806,4.72957424013385
"216",43282997,201805,-0.451845122938514
"217",43282997,201905,-0.446143251464095
"218",43286347,201906,0.00301215266685044
"219",43289039,201812,0.0655604273310412
"220",43290004,201906,NA
"221",43299189,201812,0.022470497167784
"222",43320522,201806,0.00288767804355966
"223",43322638,201812,0.0303785035365429
"224",43330633,201906,-0.122681690417449
"225",43330633,201806,-0.145021453125131
"226",43331491,201806,0.0393516699315885
"227",43333866,201812,-0.000313146477727264
