"","ein","tax_pd","pred_profitmargin"
"150",42622751,201812,1.65268771707948
"151",42652919,201812,0.148474690578956
"152",42660283,201812,0.0346306609777315
"153",42666507,201812,0.414382973532213
"154",42678309,201906,0.230171595010448
"155",42681632,201812,0.0823705002001652
"156",42684781,201812,0.319281473525069
"157",42685432,201809,0.306355104762098
"158",42686893,201812,-0.0824091464504612
"159",42690210,201812,0.0697648684781038
"160",42692763,201806,0.0197962584428478
"161",42716278,201812,0.461709941576357
"162",42716728,201706,-0.549388756737226
"163",42716728,201806,-0.134530282889289
"164",42732718,201812,0.901767137087284
"165",42733078,201812,0.155981504946459
"166",42736725,201812,0.0503149907272393
"167",42737054,201806,0.01067467267117
"168",42741009,201806,0.09066858298091
"169",42741543,201812,-0.0560533036086471
"170",42743779,201812,0.96045140360221
"171",42748880,201806,0.037367416013482
"172",42752507,201812,0.172522707942262
"173",42755270,201808,0.654531086883712
"174",42755382,201903,0.0261596940587149
"175",42760272,201812,0.259741417057409
"176",42761591,201812,0.217987415929297
"177",42762580,201812,0.457291096374665
"178",42774010,201806,-0.306836589107371
"179",42777769,201812,0.107565759314679
"180",42859066,201806,-0.514904508589867
"181",42898893,201806,0.0246564494961852
"182",42921318,201806,0.0765681437218216
"183",42921465,201806,0.254457044254524
"184",42925846,201806,-0.0167658826639137
"185",42933012,201806,0.017794123847102
"186",42944144,201812,0.234543981980308
"187",42961787,201806,-0.523447240528231
"188",42964630,201812,0.0059091250704867
"189",42970982,201806,0.0485464841862452
"190",42982308,201812,0.133535287171904
"191",42983365,201906,0.339256700787251
"192",42983365,201806,0.124830107157675
"193",42988263,201812,-0.206172773559943
"194",43010725,201806,0.276549694261917
"195",43023407,201806,0.424075948794372
"196",43029411,201806,-0.210990870829807
"197",43036200,201812,0.0581842375094464
"198",43074487,201812,0.168331929159426
"199",43085298,201906,NA
"200",43100105,201812,0.174851756541212
"201",43118543,201906,0.298652445501807
"202",43124357,201812,-0.214535827141515
"203",43141970,201812,NA
"204",43159643,201809,0.102856362565205
"205",43172737,201806,0.0613067687412006
"206",43176887,201812,0.07054810177777
"207",43206608,201812,NA
"208",43216873,201906,0.979136813981246
"209",43230028,201812,0.695539171484644
"210",43239046,201812,-0.0328330851185703
"211",43244024,201906,0.0154400962106368
"212",43246555,201812,0.350202616004211
"213",43247717,201906,0.645069880640348
"214",43247717,201806,0.38083617927154
"215",43280116,201806,-0.883202522276907
"216",43282997,201805,0.801285633913701
"217",43282997,201905,-0.829018737672584
"218",43286347,201906,0.0646492707147427
"219",43289039,201812,-0.360574172590435
"220",43290004,201906,NA
"221",43299189,201812,0.190623489194936
"222",43320522,201806,0.261462138145342
"223",43322638,201812,0.385699330048101
"224",43330633,201906,0.101542347467605
"225",43330633,201806,-0.111408725172156
"226",43331491,201806,0.959454394341867
"227",43333866,201812,0.51130763906614
"228",43337726,201812,0.0720297663450428
"229",43362851,201809,0.220284999557381
"230",43364974,201806,0.733711925658234
"231",43370097,201806,0.467905214393024
"232",43371170,201809,-0.0210064866788528
"233",43408855,201812,0.104718911225761
"234",43458096,201906,0.073024662046533
"235",43460139,201812,0.0388916633095857
"236",43469536,201812,0.207050551838077
"237",43490920,201812,0.156710677187907
"238",43500087,201906,-0.0777858815222239
"239",43502138,201906,-0.146026242446178
"240",43534715,201812,0.01243226316793
"241",43534734,201812,0.219833635273405
"242",43535025,201812,-115.451336531871
"243",43538884,201812,0.0771203668683812
"244",43555681,201812,0.205400222378253
"245",43562853,201806,0.115378017437033
"246",43571892,201812,0.220375856149642
"247",43586322,201812,NA
"248",43611860,201812,0.0251364392751924
"249",43613194,201812,-0.00893685518426117
