"","ein","tax_pd","quick_ratio"
"160",42692763,201806,3.3244229000328
"161",42716278,201812,11.5439480411391
"162",42716728,201706,22.7644568677191
"163",42716728,201806,26.2414096410884
"164",42732718,201812,0.53396110939422
"165",42733078,201812,18.6366199608274
"166",42736725,201812,19.6263573795565
"167",42737054,201806,12.697665742912
"168",42741009,201806,1.28789353305554
"169",42741543,201812,4.37667585173791
"170",42743779,201812,NA
"171",42748880,201806,3.06033005117169
"172",42752507,201812,8.10130922767187
"173",42755270,201808,7.34694597733727
"174",42755382,201903,24.5600144748499
"175",42760272,201812,3.20102112156249
"176",42761591,201812,1522.52645861601
"177",42762580,201812,0.794392344375427
"178",42774010,201806,3.87861055776892
"179",42777769,201812,2.64451852413062
"180",42859066,201806,2.37566085555418
"181",42898893,201806,2.9431176283073
"182",42921318,201806,3.95112399859374
"183",42921465,201806,4.4485215200112
"184",42925846,201806,3.94983364057372
"185",42933012,201806,86.3167998992887
"186",42944144,201812,0.633203131937103
"187",42961787,201806,113.145833333333
"188",42964630,201812,10.3060422801543
"189",42970982,201806,30.565451572569
"190",42982308,201812,1.73703470499872
"191",42983365,201906,4.15695950092043
"192",42983365,201806,5.42414860681115
"193",42988263,201812,29.0896435716214
"194",43010725,201806,11.6376039933444
"195",43023407,201806,4.05997803449398
"196",43029411,201806,3.05914785733625
"197",43036200,201812,4.53474682015778
"198",43074487,201812,0.356476101218369
"199",43085298,201906,NA
"200",43100105,201812,11.0051707293826
"201",43118543,201906,21.2668486227914
"202",43124357,201812,1.29906412718183
"203",43141970,201812,NA
"204",43159643,201809,2.96547292258382
"205",43172737,201806,11.6821358227882
"206",43176887,201812,0.614435981138919
"207",43206608,201812,10.0715339233038
"208",43216873,201906,NA
"209",43230028,201812,6.15236353166336
"210",43239046,201812,NA
"211",43244024,201906,19.5233501482136
"212",43246555,201812,10.3570105189231
"213",43247717,201906,29.0450020911752
"214",43247717,201806,15.5932509015971
"215",43280116,201806,1.86079830198691
"216",43282997,201805,0.167900403768506
"217",43282997,201905,0.139615578734859
"218",43286347,201906,399.659494949495
"219",43289039,201812,2.00797467220214
"220",43290004,201906,NA
"221",43299189,201812,90.4352692451188
"222",43320522,201806,56.3759621077561
"223",43322638,201812,7.00214438140842
"224",43330633,201906,0.722983714079262
"225",43330633,201806,0.219502629879118
"226",43331491,201806,3.90810850547673
"227",43333866,201812,-1166.89742014742
"228",43337726,201812,0.983233048419252
"229",43362851,201809,9.52714285714286
"230",43364974,201806,NA
"231",43370097,201806,3.61920254218052
"232",43371170,201809,31.0988005692214
"233",43408855,201812,11.543444270717
"234",43458096,201906,6.42161231594263
"235",43460139,201812,4.33245165082505
"236",43469536,201812,9.43116174582798
"237",43490920,201812,0.456680666547964
"238",43500087,201906,0.0405841049269133
"239",43502138,201906,0.486890203813281
"240",43534715,201812,1579.44344635628
"241",43534734,201812,14.6867330400556
"242",43535025,201812,42.8315151515151
"243",43538884,201812,11.6560342655581
"244",43555681,201812,2.16395273786401
"245",43562853,201806,3.82868706349902
"246",43571892,201812,3.82491939969268
"247",43586322,201812,NA
"248",43611860,201812,9.81556195965418
"249",43613194,201812,6.77259213164627
"250",43617019,201806,NA
"251",43617951,201806,4.06079311311716
"252",43627371,201812,9.01207383247283
"253",43627393,201806,17.3988370359326
"254",43635313,201812,34.3908749882772
"255",43669252,201806,2.10278417416789
"256",43728351,201812,NA
"257",43754904,201812,40.5227036395147
"258",46125732,201809,2.92906886335287
"259",46132439,201812,16.9817386982476
"260",46138418,201812,2.26624964842522
"261",50258819,201812,1.57665791997586
"262",50258871,201812,2.40696453427323
"263",50258939,201806,0.00113041724602762
"264",50259094,201812,1.62734266371227
"265",50300152,201812,1.26296548012188
"266",50309695,201809,7.55252742099156
"267",50311985,201806,4.40352543193973
"268",50312991,201809,3.68987903498299
"269",50340202,201812,23.1056392517409
"270",50340915,201812,0.997736833042238
"271",50343709,201909,1.22912248631086
"272",50370157,201812,37.8787266296109
"273",50370946,201808,1.22768874690312
"274",50376075,201806,1.96931231957884
"275",50380608,201812,7.30612155036712
"276",50381201,201812,7.80035746201966
"277",50383354,201812,55.5113189433588
"278",50384495,201812,16.9546946255807
"279",50396559,201812,NA
"280",50432730,201806,65.8953125
"281",50445955,201906,4.06244757676807
"282",50448151,201806,2.34383457653971
