"","ein","tax_pd","currentratio"
"160",42692763,201806,3.39080810869044
"161",42716278,201812,11.7689762796504
"162",42716728,201706,22.9703834160056
"163",42716728,201806,26.4831061055127
"164",42732718,201812,0.53396110939422
"165",42733078,201812,18.8168714979589
"166",42736725,201812,19.6855977568188
"167",42737054,201806,12.9347953528032
"168",42741009,201806,1.3724501117491
"169",42741543,201812,4.37667585173791
"170",42743779,201812,NA
"171",42748880,201806,3.34751085365396
"172",42752507,201812,8.17726032075011
"173",42755270,201808,7.51249006629877
"174",42755382,201903,25.0691548434595
"175",42760272,201812,3.26820178431662
"176",42761591,201812,1522.52645861601
"177",42762580,201812,0.835983733712965
"178",42774010,201806,3.87861055776892
"179",42777769,201812,5.21547086900523
"180",42859066,201806,2.38611060061459
"181",42898893,201806,3.13648708957603
"182",42921318,201806,3.97486174534705
"183",42921465,201806,4.4485215200112
"184",42925846,201806,4.16671162867377
"185",42933012,201806,86.3167998992887
"186",42944144,201812,0.65698241206265
"187",42961787,201806,113.145833333333
"188",42964630,201812,10.4057536604357
"189",42970982,201806,88.5020679042031
"190",42982308,201812,1.79353068454778
"191",42983365,201906,4.26953364696257
"192",42983365,201806,5.92022870268651
"193",42988263,201812,29.352171174227
"194",43010725,201806,12.5972268441486
"195",43023407,201806,4.05997803449398
"196",43029411,201806,3.28020774361878
"197",43036200,201812,4.63616969892127
"198",43074487,201812,0.613083411433927
"199",43085298,201906,NA
"200",43100105,201812,11.1075368742107
"201",43118543,201906,21.3767070442096
"202",43124357,201812,1.39588631134638
"203",43141970,201812,NA
"204",43159643,201809,4.00767973596941
"205",43172737,201806,11.7682594501255
"206",43176887,201812,0.731501632208923
"207",43206608,201812,10.0715339233038
"208",43216873,201906,NA
"209",43230028,201812,6.22231255186898
"210",43239046,201812,NA
"211",43244024,201906,19.6412449945395
"212",43246555,201812,10.5167257165918
"213",43247717,201906,29.9989125888749
"214",43247717,201806,16.434226343809
"215",43280116,201806,1.91264479812821
"216",43282997,201805,2.18023216689098
"217",43282997,201905,2.15194734185734
"218",43286347,201906,399.659494949495
"219",43289039,201812,2.04311400495804
"220",43290004,201906,NA
"221",43299189,201812,92.3911205073996
"222",43320522,201806,56.3759621077561
"223",43322638,201812,7.31017540207151
"224",43330633,201906,0.722983714079262
"225",43330633,201806,0.219502629879118
"226",43331491,201806,3.90810850547673
"227",43333866,201812,-1166.89742014742
"228",43337726,201812,1.10728568891902
"229",43362851,201809,9.57991275899673
"230",43364974,201806,NA
"231",43370097,201806,3.66461123300799
"232",43371170,201809,31.0988005692214
"233",43408855,201812,11.838507929417
"234",43458096,201906,6.46427020727165
"235",43460139,201812,4.54593709231144
"236",43469536,201812,9.43116174582798
"237",43490920,201812,0.470479801418143
"238",43500087,201906,0.272915961314825
"239",43502138,201906,0.501604207758054
"240",43534715,201812,1579.71689439946
"241",43534734,201812,14.6948367677703
"242",43535025,201812,42.8315151515151
"243",43538884,201812,11.8607709750567
"244",43555681,201812,2.27638833729776
"245",43562853,201806,3.97742614184273
"246",43571892,201812,3.83294643614665
"247",43586322,201812,NA
"248",43611860,201812,10.024655779699
"249",43613194,201812,10.5647514346954
"250",43617019,201806,NA
"251",43617951,201806,4.06079311311716
"252",43627371,201812,9.28094513755832
"253",43627393,201806,19.4968242135083
"254",43635313,201812,34.7058379442934
"255",43669252,201806,2.10278417416789
"256",43728351,201812,NA
"257",43754904,201812,40.5227036395147
"258",46125732,201809,3.20384171478754
"259",46132439,201812,18.2467653927756
"260",46138418,201812,2.29669464558505
"261",50258819,201812,1.64100716258787
"262",50258871,201812,2.40696453427323
"263",50258939,201806,0.00113041724602762
"264",50259094,201812,1.67433396039825
"265",50300152,201812,1.28386001082547
"266",50309695,201809,7.70507290028449
"267",50311985,201806,4.58098061397786
"268",50312991,201809,3.70362444529543
"269",50340202,201812,23.4194165035729
"270",50340915,201812,1.01701065164449
"271",50343709,201909,1.37788037856318
"272",50370157,201812,37.8787266296109
"273",50370946,201808,1.23048767766332
"274",50376075,201806,1.99679256557586
"275",50380608,201812,7.43932939246832
"276",50381201,201812,7.80035746201966
"277",50383354,201812,55.728778916726
"278",50384495,201812,17.1169927119294
"279",50396559,201812,NA
"280",50432730,201806,65.8953125
"281",50445955,201906,4.15206317383032
"282",50448151,201806,2.40253894646511
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,NA
"286",50450845,201806,NA
"287",50463993,201806,0.445397082342273
"288",50475365,201812,1.83137685015257
"289",50486136,201809,2.10581926640437
"290",50489479,201903,12.3520929233066
"291",50489479,201803,17.645275486175
"292",50495681,201812,2.95048007227346
"293",50497260,201812,NA
"294",50513907,201812,NA
"295",50520256,201812,0.900927417115566
"296",56015153,201806,1.42902542053936
"297",56018801,201806,3.05917393986625
"298",60646969,201806,8.86733336679382
"299",60646974,201906,1.87060131179515
"300",60646994,201806,1.75058514585831
"301",60653158,201806,17.861921010845
"302",60676851,201809,3.96509279175746
"303",60795640,201812,4.25685284505486
"304",60801861,201806,10.436048136336
"305",60806128,201903,3.4943532390658
"306",60813725,201812,2.2922055834544
"307",60864050,201812,6.20700111143832
"308",60876558,201806,3.54394258700234
"309",60876677,201808,5.2209312830891
"310",60890788,201812,0.373113482865005
"311",60903918,201812,3.14647171010807
"312",60906671,201812,0.516644383511976
"313",60939659,201806,3.76420213633399
"314",60954802,201806,2.27059529821222
"315",60979507,201809,0.66445210774908
"316",60993174,201812,-53.2041936842105
"317",61006312,201806,2.54228116710875
"318",61008590,201806,2.37250822125333
"319",61011060,201812,1.16460175449078
"320",61021268,201812,84.8989359821839
"321",61022915,201812,7.50328198008917
"322",61045493,201906,1.50420712581936
"323",61063650,201812,1.95508789188303
"324",61064281,201812,1.25806360331168
"325",61066148,201806,6.62320317642313
"326",61174074,201906,6336.24827586207
"327",61193489,201809,1.2511809057772
"328",61214680,201806,8.78393885664571
"329",61230844,201809,4.39795500293924
"330",61235451,201806,7.76632790315349
"331",61258114,201812,NA
"332",61276156,201906,21.3342763198051
"333",61276156,201806,32.6114332139296
"334",61322214,201806,4.14889091461562
"335",61322214,201906,6.79681408509746
"336",61338915,201812,5.50524415405777
"337",61353568,201812,7.91185403644687
"338",61354643,201809,NA
"339",61356231,201806,4.56093330158838
"340",61414605,201806,20.6760338495928
"341",61419774,201806,1.47029157342774
"342",61421651,201806,34.4106171201062
"343",61421674,201812,11.3160761380576
"344",61423446,201812,NA
"345",61423598,201806,126.665640857751
"346",61428945,201812,679.15667311412
"347",61428945,201812,679.15667311412
"348",61440531,201906,6.38216489063376
"349",61466506,201812,NA
"350",61472525,201906,0.51020979020979
"351",61473638,201906,0.611349937954263
"352",61613212,201812,76.6688407945449
"353",61618332,201812,5.86834686750536
"354",61637790,201809,37.4507535217379
"355",61665031,201812,18.438495461127
"356",61683983,201812,17.3479061153094
"357",61714498,201809,2.41540691237746
"358",61781093,201812,NA
"359",61804372,201812,NA
"360",66066491,201806,1.15142923812857
"361",66071847,201810,0.306634873842219
"362",100131835,201806,12.6364078141705
"363",111630919,201812,14.5044158080844
"364",112137138,201806,3.57396579727039
"365",112141197,201812,7.30247237146726
"366",112221341,201812,4.89887173097797
"367",112268359,201812,3.37923783771037
"368",112325394,201906,5.92621404997643
"369",112356150,201806,86.5094000552944
"370",112375583,201806,2.8305103811309
"371",112382250,201806,69.0095443349754
"372",112412584,201712,18.0178253992693
"373",112431586,201806,83.8463113434719
"374",112435523,201905,15.312347826087
"375",112436149,201806,15.7374860737279
"376",112451752,201806,7.91125904871719
"377",112453853,201806,2.23275846063301
"378",112458675,201806,NA
"379",112475743,201806,2.10254833389069
"380",112490986,201806,0.335127162560791
"381",112498292,201806,NA
"382",112526244,201807,18.9877387537124
"383",112527097,201906,1.17751336769594
"384",112527202,201905,1.12960167427179
"385",112528786,201812,127.481333333333
"386",112534700,201803,0.870470999347924
"387",112538550,201808,3.45148950734519
"388",112573432,201806,17.6005466614604
"389",112578155,201807,1.94916225446377
"390",112594653,201806,2.60968946304173
"391",112600290,201812,2.03654343569033
"392",112600290,201712,1.19986937743601
"393",112603787,201812,1.73162584480035
"394",112627786,201812,1.7310265723571
"395",112647339,201812,10.0759838434744
"396",112665181,201806,1.56987154839806
"397",112683663,201806,3.15818399470538
"398",112689903,201812,190.016949152542
"399",112710506,201812,37.6685899575604
"400",112737223,201812,14.1738578408645
"401",112783877,201812,4.98673580031679
"402",112840553,201806,17.5154268165896
"403",112848726,201809,10.6230934564075
"404",112848938,201806,NA
"405",112857055,201806,1.03561157817344
"406",112889068,201812,11.1656909709105
"407",112890302,201812,4.29467842701223
"408",112911043,201812,35.1272914917436
"409",113039699,201805,NA
"410",113048002,201812,7.87519062841189
"411",113099604,201812,3.47861539078727
"412",113132562,201812,24.7704320926055
"413",113199716,201812,NA
"414",113204890,201812,28.208423703911
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,10.3613512013322
"418",113306111,201806,8.12879502782207
"419",113312539,201812,27.0465663878541
"420",113317234,201812,15.4455044166142
"421",113317929,201806,5.45945655676082
"422",113415840,201812,0.619971491922711
"423",113422018,201812,2.87973078388704
"424",113442366,201812,0
"425",113458791,201806,NA
"426",113462888,201906,1.02377134207302
"427",113580935,201812,10.8077007045748
"428",113603198,201812,NA
"429",113613094,201812,35.6896590909091
"430",113633048,201812,23.4859611231102
"431",113666873,201812,0.785712393717056
"432",113687996,201809,0.710940535260359
"433",113704014,201906,0.042288003561095
"434",113754129,201812,8.39356856831358
"435",116083182,201806,1.37637618573063
"436",123799161,201906,2.32879977917744
"437",123799161,201706,0.783997587197064
"438",131562242,201806,3.72157728546711
"439",131624178,201806,1.74595534617108
"440",131671035,201806,0.613461734174639
"441",131919799,201806,4.5604614107709
"442",131943516,201806,0.246026079988344
"443",132564241,201812,4.55854055194845
"444",132579051,201807,1.13158866237335
"445",132617705,201812,51.6785841066991
"446",132735378,201812,403.793276916846
"447",132736022,201803,3.36559961407228
"448",132778910,201812,4.35001478658036
"449",132802083,201906,0.974097688716839
"450",132806160,201806,4.02529583695775
"451",132834016,201812,2.84420395727629
"452",132850133,201806,10.8017698889789
"453",132851988,201812,18.0315261312309
"454",132868189,201809,7.01245939127752
"455",132875743,201812,0.71875585906797
"456",132902798,201806,15.6213370699623
"457",132922191,201812,6.24437793331548
"458",132926433,201806,8.90486943085057
"459",132934000,201812,5.62637324325581
"460",132936066,201809,NA
"461",132938457,201806,53.2995
"462",132944013,201804,33.3912437367067
"463",132950346,201812,60.1285776048422
"464",132972415,201806,3.15823755811766
"465",132976987,201812,18.0372906077677
"466",133008492,201906,NA
"467",133010578,201812,284.143731503901
"468",133020589,201806,53.1225766103815
"469",133022372,201812,9.01571468899972
"470",133023179,201812,42.0125245717495
"471",133023183,201806,2.96211710297182
"472",133026182,201812,175.971604515908
"473",133028376,201812,1.95318860244233
"474",133032463,201812,60.8207929515418
"475",133076810,201812,4.62483171803919
"476",133097905,201806,2.82127659574468
"477",133098397,201812,24.0685607106473
"478",133108035,201812,38.3048365912076
"479",133110811,201812,7.36286988879323
"480",133154100,201812,48.2458426339286
"481",133160099,201806,5.33451205442095
"482",133176586,201806,6.09139131693296
"483",133176952,201806,14.8710328329231
"484",133183344,201806,2.83770142146173
"485",133187792,201812,3.72863463845993
"486",133202014,201812,11.6282136238314
"487",133203701,201806,2.54626279624176
"488",133206603,201812,NA
"489",133212867,201812,2.52889238050198
"490",133213525,201803,0.943308055548216
"491",133234441,201806,6.21332129353811
"492",133248777,201812,4.73928637789202
"493",133257307,201806,1.75962937791995
"494",133281487,201806,6.30266907348751
"495",133313856,201812,NA
"496",133402057,201706,0.120111078814701
"497",133402057,201506,0.12004888217957
"498",133402057,201306,0.124149568716211
"499",133402057,201206,0.295853265130821
"500",133402057,201606,0.120094826427632
"501",133420753,201806,2.10691482736036
"502",133421324,201812,387.762605042017
"503",133439109,201807,213.068762278978
"504",133439109,201907,153.709554896142
"505",133463392,201806,NA
"506",133505123,201812,22.4941066166622
"507",133514340,201812,NA
"508",133516262,201806,5.7004892541935
