"","ein","tax_pd","postd_profitmargin"
"148",42622178,201712,-0.12043054713603
"149",42622178,201812,-0.175076879245022
"150",42622751,201812,1.65268771707948
"151",42652919,201812,0.114468216857622
"152",42660283,201812,-0.00704301083411968
"153",42666507,201812,0.360419530764912
"154",42678309,201906,0.159408176618333
"155",42681632,201812,0.0727438443035896
"156",42684781,201812,-0.156381621284127
"157",42685432,201809,0.156313985088619
"158",42686893,201812,-0.146480895279187
"159",42690210,201812,0.0697648684781038
"160",42692763,201806,0.00487991201143266
"161",42716278,201812,0.43991079265517
"162",42716728,201706,-0.549388756737226
"163",42716728,201806,-0.134530282889289
"164",42732718,201812,0.901767137087284
"165",42733078,201812,0.153781820539926
"166",42736725,201812,-0.150524512649178
"167",42737054,201806,-0.20927848664276
"168",42741009,201806,0.0358938001645312
"169",42741543,201812,-0.11087037853833
"170",42743779,201812,0.96045140360221
"171",42748880,201806,-0.015672740000365
"172",42752507,201812,0.0946815184750777
"173",42755270,201808,0.653530721927595
"174",42755382,201903,0.0102110806215872
"175",42760272,201812,0.218063840414366
"176",42761591,201812,0.215838113881344
"177",42762580,201812,0.331715063685376
"178",42774010,201806,-0.306836589107371
"179",42777769,201812,-0.0135926484036513
"180",42859066,201806,-0.525985000436034
"181",42898893,201806,-0.0361518784616411
"182",42921318,201806,-0.105584723328904
"183",42921465,201806,0.174118783077581
"184",42925846,201806,-0.0274542789743129
"185",42933012,201806,-0.0468834863090647
"186",42944144,201812,-0.0127364903380735
"187",42961787,201806,-0.523447240528231
"188",42964630,201812,-0.0759990667861156
"189",42970982,201806,0.0197369343401348
"190",42982308,201812,0.0704771180122579
"191",42983365,201906,0.339256700787251
"192",42983365,201806,0.124830107157675
"193",42988263,201812,-0.228829088274161
"194",43010725,201806,0.0567521101213494
"195",43023407,201806,0.286125729216448
"196",43029411,201806,-0.243562225746614
"197",43036200,201812,0.0485796844100624
"198",43074487,201812,-0.0676197497060011
"199",43085298,201906,2.70682628629649
"200",43100105,201812,-0.0871847531308159
"201",43118543,201906,0.241987496937603
"202",43124357,201812,-0.41709045360083
"203",43141970,201812,NA
"204",43159643,201809,-0.627725058854116
"205",43172737,201806,0.0452908961708754
"206",43176887,201812,-0.171710422198386
"207",43206608,201812,NA
"208",43216873,201906,0.979136813981246
"209",43230028,201812,0.570266551430417
"210",43239046,201812,-0.192156413487608
"211",43244024,201906,0.00982342189384255
"212",43246555,201812,0.289687664498167
"213",43247717,201906,0.420774097525353
"214",43247717,201806,0.0713475454723254
"215",43280116,201806,-1.14645262995037
"216",43282997,201805,0.801285633913701
"217",43282997,201905,-0.829018737672584
"218",43286347,201906,0.0645397351803666
"219",43289039,201812,-0.485443477060057
"220",43290004,201906,-0.405206888109035
"221",43299189,201812,-0.111785669973859
"222",43320522,201806,0.261462138145342
