"","ein","tax_pd","selfsufficiency"
"161",42716278,201812,1.01135727075253
"162",42716728,201706,0.601671306485544
"163",42716728,201806,0.880050029237866
"164",42732718,201812,6.53057312631781
"165",42733078,201812,0.938588632696491
"166",42736725,201812,0.193916298345261
"167",42737054,201806,0.814928263761778
"168",42741009,201806,0.197999350028041
"169",42741543,201812,0.599879993315782
"170",42743779,201812,19.035424218222
"171",42748880,201806,0.028416621260502
"172",42752507,201812,0.496610429468858
"173",42755270,201808,0
"174",42755382,201903,0.0320747535436035
"175",42760272,201812,0.10081935267832
"176",42761591,201812,0.0332389919570443
"177",42762580,201812,1.08693623554815
"178",42774010,201806,0
"179",42777769,201812,0.800848410911056
"180",42859066,201806,0.00351173559745509
"181",42898893,201806,0.310725022476358
"182",42921318,201806,0.77274504310327
"183",42921465,201806,0.649491136838034
"184",42925846,201806,0.0180076963694427
"185",42933012,201806,0.725160644591977
"186",42944144,201812,0.57393585800942
"187",42961787,201806,0.6509779032285
"188",42964630,201812,0.306337909725821
"189",42970982,201806,0
"190",42982308,201812,0.338533907625694
"191",42983365,201906,0.269066779249156
"192",42983365,201806,0.204436688504089
"193",42988263,201812,0.149970642414529
"194",43010725,201806,0.272133381309393
"195",43023407,201806,1.2369860110636
"196",43029411,201806,0.533017124831005
"197",43036200,201812,0.0927429833352892
"198",43074487,201812,0.927037180130044
"199",43085298,201906,0.0205193254738099
"200",43100105,201812,0.91776488118379
"201",43118543,201906,0.018381747928145
"202",43124357,201812,0.635864230279997
"203",43141970,201812,0
"204",43159643,201809,0.614199408332037
"205",43172737,201806,0
"206",43176887,201812,0.845739412312033
"207",43206608,201812,0
"208",43216873,201906,2.55038759689922
"209",43230028,201812,1.31118129674
"210",43239046,201812,0.230628783753483
"211",43244024,201906,0.261417069029113
"212",43246555,201812,1.36608303660122
"213",43247717,201906,0.71169992057518
"214",43247717,201806,0.669307343457548
"215",43280116,201806,0.159363908034333
"216",43282997,201805,5.03225535175339
"217",43282997,201905,0.546269461481432
"218",43286347,201906,0.771852418399493
"219",43289039,201812,0.333606692995518
"220",43290004,201906,0.599779300731792
"221",43299189,201812,0.886092949692336
"222",43320522,201806,0
"223",43322638,201812,0.372875705830329
"224",43330633,201906,0.634657788434602
"225",43330633,201806,0.591203377752896
"226",43331491,201806,0
"227",43333866,201812,0.341152394566078
"228",43337726,201812,0.952904461805558
"229",43362851,201809,0.714978730030193
"230",43364974,201806,0
"231",43370097,201806,0.0998340802156471
"232",43371170,201809,0
"233",43408855,201812,0.106648635827796
"234",43458096,201906,0.0151016485790691
"235",43460139,201812,1.01387045790922
"236",43469536,201812,0.736041646120684
"237",43490920,201812,0.825334834895226
"238",43500087,201906,0.64909155682223
"239",43502138,201906,0.250105907847943
"240",43534715,201812,0.986636409035077
"241",43534734,201812,0.522278421527769
"242",43535025,201812,0
"243",43538884,201812,0.352584031934609
"244",43555681,201812,0.639703244107427
"245",43562853,201806,0.660281556494322
"246",43571892,201812,0.149983724502118
"247",43586322,201812,NA
"248",43611860,201812,0.290548209267133
"249",43613194,201812,0
"250",43617019,201806,0
"251",43617951,201806,0.0209612928867389
"252",43627371,201812,0.0710225691545611
"253",43627393,201806,0.0326186326659811
"254",43635313,201812,0.465608065966968
"255",43669252,201806,0.283834938242199
"256",43728351,201812,0
"257",43754904,201812,0.301038580668841
"258",46125732,201809,0.949018605900529
"259",46132439,201812,1.07558866599718
"260",46138418,201812,0.124451814089824
"261",50258819,201812,0.938843326016361
"262",50258871,201812,0.515133528505845
"263",50258939,201806,0.0864914261140676
"264",50259094,201812,0.0380388983026258
"265",50300152,201812,0.93819407325664
"266",50309695,201809,0.142149100940388
"267",50311985,201806,0.108740181712354
"268",50312991,201809,0
"269",50340202,201812,0.0399310887232688
"270",50340915,201812,0.278624581069055
"271",50343709,201909,1.46071972220389
"272",50370157,201812,0.393516106655226
"273",50370946,201808,0.921910241544476
"274",50376075,201806,0.984423076056418
"275",50380608,201812,0.146078241217881
"276",50381201,201812,0.0320939334637965
"277",50383354,201812,1.22485718993738
"278",50384495,201812,0
"279",50396559,201812,151.453333333333
"280",50432730,201806,0.469389163475931
"281",50445955,201906,1.15076519516549
"282",50448151,201806,0.00427119492959324
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,0.258722206698335
"286",50450845,201806,0.208216631501886
"287",50463993,201806,0.735605078052545
"288",50475365,201812,0.0263504943962188
"289",50486136,201809,0.822918210538633
"290",50489479,201903,0.969941068376931
"291",50489479,201803,0.980946704358703
"292",50495681,201812,0.355003153791271
"293",50497260,201812,0
"294",50513907,201812,1.53738985868662
"295",50520256,201812,0.510072321205908
"296",56015153,201806,0.95898042302551
"297",56018801,201806,0.417391714567673
"298",60646969,201806,0.079792888995323
"299",60646974,201906,0.405237824732019
"300",60646994,201806,0.172465392707315
"301",60653158,201806,0.154526647177873
"302",60676851,201809,0.0802505938052956
"303",60795640,201812,0.983625494375551
"304",60801861,201806,0.0169199783728671
"305",60806128,201903,0.0770811093184203
"306",60813725,201812,0.0479090713381072
"307",60864050,201812,0.812669793637331
"308",60876558,201806,0.00336571336445325
"309",60876677,201808,0.689265568493373
"310",60890788,201812,0.690278048176138
"311",60903918,201812,0.948697161761575
"312",60906671,201812,0.422113603876761
"313",60939659,201806,0.0624421785289332
"314",60954802,201806,0.0670007277714864
"315",60979507,201809,0.012011909939248
"316",60993174,201812,0.800444346082522
"317",61006312,201806,0.314135446905647
"318",61008590,201806,0.276367094714735
"319",61011060,201812,0.641915330798859
"320",61021268,201812,0.47116416128091
"321",61022915,201812,0.109849748025363
"322",61045493,201906,0.973680877665931
"323",61063650,201812,0.896385636617679
"324",61064281,201812,0.108011775569828
"325",61066148,201806,0.480915641246508
"326",61174074,201906,0
"327",61193489,201809,0.0157995848295498
"328",61214680,201806,0.575700192014831
"329",61230844,201809,0.67657974754155
"330",61235451,201806,0.741598639278135
"331",61258114,201812,0.46244401313825
"332",61276156,201906,0.433428685562632
"333",61276156,201806,0.454530459209273
"334",61322214,201806,0.436592423926252
"335",61322214,201906,0.397716709618301
"336",61338915,201812,0.39288723445399
"337",61353568,201812,0.865789768544552
"338",61354643,201809,0.536958726822648
"339",61356231,201806,1.07187259718765
"340",61414605,201806,0.168006013874113
"341",61419774,201806,0
"342",61421651,201806,0
"343",61421674,201812,1.01169794649712
"344",61423446,201812,0.948609737730064
"345",61423598,201806,0.716735054807209
"346",61428945,201812,0.808511904416332
"347",61428945,201812,0.808511904416332
"348",61440531,201906,0
"349",61466506,201812,0
"350",61472525,201906,0.792602758093075
"351",61473638,201906,0.81148940597574
"352",61613212,201812,0.237665185096799
"353",61618332,201812,0.506980867803075
"354",61637790,201809,1.12278517071583
"355",61665031,201812,0.140876601138333
"356",61683983,201812,0.252951465079153
"357",61714498,201809,0
"358",61781093,201812,0
"359",61804372,201812,0
"360",66066491,201806,0.0530409695189994
"361",66071847,201810,0.069062993534584
"362",100131835,201806,0
"363",111630919,201812,0.733193786390919
"364",112137138,201806,0.674873282082918
"365",112141197,201812,0.574573908340994
"366",112221341,201812,0.990836329838526
"367",112268359,201812,0.603093658685564
"368",112325394,201906,0.517212028052647
"369",112356150,201806,0
"370",112375583,201806,0.00646195260226279
"371",112382250,201806,0
"372",112412584,201712,0
"373",112431586,201806,2.62295369327191
"374",112435523,201905,0
"375",112436149,201806,0.358266265856687
"376",112451752,201806,0.482395385579495
"377",112453853,201806,0.0563980927486356
"378",112458675,201806,0
"379",112475743,201806,0.475468414000157
"380",112490986,201806,0.223122103427706
"381",112498292,201806,0.123821400682976
"382",112526244,201807,0
"383",112527097,201906,0.00238228938009427
"384",112527202,201905,0.921876770056868
"385",112528786,201812,0.196521861874579
"386",112534700,201803,0.0158463713755596
"387",112538550,201808,0.26314640636688
"388",112573432,201806,1.5714839631741
"389",112578155,201807,0.756590664194491
"390",112594653,201806,0.0122035583234653
"391",112600290,201812,0.844141576575859
"392",112600290,201712,0.837137314531648
"393",112603787,201812,0.608885093968027
"394",112627786,201812,0.192660675679493
"395",112647339,201812,0.256239495543774
"396",112665181,201806,0.00175183310968557
"397",112683663,201806,0.0100718466923881
"398",112689903,201812,0.0992498617982324
"399",112710506,201812,0
"400",112737223,201812,0.846458662139991
"401",112783877,201812,0.384832137391328
"402",112840553,201806,0.153619411732252
"403",112848726,201809,0.550815637956495
"404",112848938,201806,NA
"405",112857055,201806,0.0363016112024735
"406",112889068,201812,0.811488925594221
"407",112890302,201812,1.77315320878149
"408",112911043,201812,0.407839357693091
"409",113039699,201805,0.687426163536316
"410",113048002,201812,0.721671840422382
"411",113099604,201812,0.0689348868303981
"412",113132562,201812,0.891413625022257
"413",113199716,201812,0
"414",113204890,201812,0.736414330240086
"415",113211896,201812,NA
"416",113211896,201712,0
"417",113250772,201812,0.808614306176329
"418",113306111,201806,0.00216176615789621
"419",113312539,201812,1.07400062425643
"420",113317234,201812,0.23435845115841
"421",113317929,201806,0
"422",113415840,201812,0.33235103825756
"423",113422018,201812,0.249420509106133
"424",113442366,201812,0
"425",113458791,201806,0
"426",113462888,201906,0
"427",113580935,201812,0.260609822063081
"428",113603198,201812,0.283116675107896
"429",113613094,201812,0.0813480649832384
"430",113633048,201812,0
"431",113666873,201812,0
"432",113687996,201809,0
"433",113704014,201906,0.778812426925004
"434",113754129,201812,0.81314803808936
"435",116083182,201806,0.187396393288979
"436",123799161,201906,0.0037950502311143
"437",123799161,201706,0.0169150738556841
"438",131562242,201806,0.119785825920036
"439",131624178,201806,0.612991149263415
"440",131671035,201806,0.593818904794538
"441",131919799,201806,0.546448439522383
"442",131943516,201806,0.234580019476729
"443",132564241,201812,0.164569156871482
"444",132579051,201807,0
"445",132617705,201812,0.081214958842973
"446",132735378,201812,0.0373561398117812
"447",132736022,201803,0.277562295455616
"448",132778910,201812,0.543694245973027
"449",132802083,201906,0.860145958766648
"450",132806160,201806,0
"451",132834016,201812,0.404803002562978
"452",132850133,201806,0.856019199733478
"453",132851988,201812,0.906006891689946
"454",132868189,201809,NA
"455",132875743,201812,0
"456",132902798,201806,0.634883360301193
"457",132922191,201812,0.198290401337566
"458",132926433,201806,0.467818640965389
"459",132934000,201812,0.736902402064613
"460",132936066,201809,0
"461",132938457,201806,5.21171808913227
"462",132944013,201804,0.252292273715114
"463",132950346,201812,0.26908599573164
"464",132972415,201806,0.00932002287401453
"465",132976987,201812,0.352684217231693
"466",133008492,201906,0.818181818181818
"467",133010578,201812,1.35627438378048
"468",133020589,201806,0.608118402198622
"469",133022372,201812,0.217551552554056
"470",133023179,201812,0.730221368998781
"471",133023183,201806,0
"472",133026182,201812,0
"473",133028376,201812,0.758414457680195
"474",133032463,201812,0.858353344243741
"475",133076810,201812,1.01305695308876
"476",133097905,201806,0
"477",133098397,201812,0.118439000479936
"478",133108035,201812,0.983731684216391
"479",133110811,201812,0.14906163575946
"480",133154100,201812,0.786562878674806
"481",133160099,201806,0.060585570327168
